election_id,candidate_name,prediction_logit_sd,prior_logit_sd,core_voting_mass,direct_party_reliability,missing_dispersion_ratio,dispersion_factor,gain
pres_2002,권영길,0.3561168058167762,1.4332314900476524,0.0,0.32974552539788626,3.0246106520034806,1.0,1.0
pres_2002,노무현,0.9838540064584291,1.0822538817109086,0.2991534150582068,0.32974552539788626,0.10001471214889768,1.0098659012748663,1.0
pres_2002,이회창,1.2017861251944397,0.9755330193034732,0.4216335696435015,0.32974552539788626,0.0,1.0,1.0
pres_2007,이명박,0.6993902674280583,1.0498787961549478,0.413602911427967,0.6507587880523347,0.5011344095704648,1.1348831975232399,1.0
pres_2007,이회창,0.28919906825845193,0.0,0.0,0.0,0.0,1.0,1.0
pres_2007,정동영,0.8436975994487796,0.818077771595836,0.31619584078360546,0.6525745069416438,0.0,1.0,1.0
pres_2012,문재인,0.9492261844805842,0.7167566280640721,0.30840422371960613,0.7825470812312081,0.0,1.0,1.0
pres_2012,박근혜,0.9492261844805844,0.9065576611336885,0.42948219450639635,0.7817260272847165,0.0,1.0,1.0
pres_2017,문재인,0.29801212325707005,0.5884057292481443,0.3153233707566028,0.8277866250223049,0.9744355458337379,1.2543476230564006,1.0
pres_2017,안철수,0.17986127525177834,0.3934133341529029,0.0,0.6913712676936701,1.1873153829371237,1.0,1.0
pres_2017,홍준표,0.6659462182815546,0.8585293769160098,0.41742933677827654,0.8273102851805098,0.28918725468763484,1.0998689628805276,1.0
pres_2022,심상정,0.1913123847058619,0.26820798712961175,0.0,0.8514146232723506,0.40193739961986763,1.0,1.0
pres_2022,윤석열,0.694048533246576,0.8231212108883244,0.36683688895411,0.8541729137166695,0.18597067994363514,1.0582724497701455,1.0
pres_2022,이재명,0.6528863068091146,0.5014781497935848,0.3505923902113199,0.8551921400674651,0.0,1.0,1.0
