election_id,region_id,candidate_name,before,ceiling,excess_redistributed
pres_2002,sido_11,권영길,0.1295202079256157,0.0606258521078621,0.06889435581775359
pres_2002,sido_26,권영길,0.1377332393629229,0.1066515387888241,0.0310817005740988
pres_2002,sido_27,권영길,0.129673785022823,0.0517226551782035,0.07795112984461951
pres_2002,sido_28,권영길,0.1395831698933877,0.0628007914541385,0.0767823784392492
pres_2002,sido_30,권영길,0.1712204299463221,0.0754167269552507,0.09580370299107141
pres_2002,sido_41,권영길,0.1373766539205314,0.0582204292272907,0.07915622469324068
pres_2002,sido_42,권영길,0.1554687700512123,0.0864477669194098,0.0690210031318025
pres_2002,sido_43,권영길,0.1585515571748961,0.0733073690080161,0.08524418816688001
pres_2002,sido_44,권영길,0.1704711338710849,0.0454043056427732,0.1250668282283117
pres_2002,sido_45,권영길,0.1347040424767206,0.1276552625263326,0.0070487799503879955
pres_2002,sido_47,권영길,0.1354528838426402,0.04496114370304,0.09049174013960021
pres_2002,sido_48,권영길,0.1367412244228187,0.0895669194284756,0.047174304994343094
