target_election,direct_party_reliability,mega_issue_intensity,raw_terrain_anchor_gain,shock_divisor,terrain_anchor_gain,regional_accent_reliability,regional_accent_gain
pres_2002,0.33333333333333337,0.5,0.16666666666666669,1.0,0.16666666666666669,0.3333333333333333,0.09999999999999999
pres_2007,0.65715276475922,1.0,0.25,1.0,0.25,0.5664042858817709,0.16992128576453128
pres_2012,0.7461121746062654,0.7,0.25,1.0,0.25,0.6237782221773455,0.18713346665320363
pres_2017,0.7645017485443613,2.0,0.25,2.0,0.125,0.5738887084939613,0.1721666125481884
pres_2022,0.8395458542463632,1.0,0.25,1.0,0.25,0.672666766235418,0.2
