election_id,region_id,distinctiveness,reliability,effective_n,prior_events,maximum_candidate_affinity,absolute_transfer
pres_2002,sido_11,0.13904161502337675,0.4705749852527291,1.946507215459781,3,0.0,0.0
pres_2002,sido_26,0.16589573402169497,0.378122460467957,1.946507215459781,3,0.1575,0.0009879802242883818
pres_2002,sido_27,0.21781573146613198,0.4396326948853547,1.946507215459781,3,0.0,0.0
pres_2002,sido_28,0.08688049632413658,0.37700140023062806,1.946507215459781,3,0.0,0.0
pres_2002,sido_29,0.5,0.564776770734283,1.946507215459781,3,0.0,0.0
pres_2002,sido_31,0.17502006700547554,0.44450391103857134,1.5035134714974112,2,0.364,0.0028318145963076675
pres_2002,sido_41,0.08545764763401838,0.4040342051123156,1.946507215459781,3,0.0,0.0
pres_2002,sido_42,0.08369937812844978,0.3660949872209445,1.946507215459781,3,0.0,0.0
pres_2002,sido_45,0.5,0.564776770734283,1.946507215459781,3,0.0,0.0
pres_2002,sido_46,0.5,0.564776770734283,1.946507215459781,3,0.0,0.0
pres_2002,sido_47,0.18887052397186435,0.45487809266619617,1.946507215459781,3,0.0,0.0
pres_2002,sido_48,0.18175540796038592,0.3847596392260309,1.946507215459781,3,0.1575,0.001101431286808936
pres_2002,sido_50,0.03082346510229806,0.539832021205987,1.9597066038061017,2,0.0,0.0
pres_2007,sido_11,0.06443683897869476,0.5049829603879982,5.283171038521807,7,0.0,0.0
pres_2007,sido_26,0.11944645126244202,0.5751257479083952,5.283171038521807,7,0.0,0.0
pres_2007,sido_27,0.22108852404045676,0.65237114928468,5.283171038521807,7,0.0,0.0
pres_2007,sido_28,0.03714093833311693,0.5063135736171678,5.283171038521807,7,0.0,0.0
pres_2007,sido_29,0.42437057570107506,0.6501439795051098,5.283171038521807,7,0.0,0.0
pres_2007,sido_31,0.15139438320074536,0.7217282875089508,4.934598970120956,6,0.0,0.0
pres_2007,sido_41,0.03495266401323975,0.5062176123008773,5.283171038521807,7,0.0,0.0
pres_2007,sido_42,0.05377801671697539,0.6076065461882586,5.283171038521807,7,0.0,0.0
pres_2007,sido_45,0.4646591954994862,0.7007507448695165,5.283171038521807,7,0.0,0.0
pres_2007,sido_46,0.46634619769574864,0.7047225540228226,5.283171038521807,7,0.0,0.0
pres_2007,sido_47,0.18903061237821883,0.6395938625883907,5.283171038521807,7,0.0,0.0
pres_2007,sido_48,0.13911699784727902,0.6133846758182717,5.283171038521807,7,0.0,0.0
pres_2007,sido_50,0.04193409144016424,0.5650147872716853,2.844978971217606,3,0.0,0.0
pres_2012,sido_11,0.05723983780367771,0.6146572187113618,9.43518516372798,12,0.0,0.0
pres_2012,sido_26,0.1281316327990067,0.6677709744674118,9.43518516372798,12,0.0,0.0
pres_2012,sido_27,0.2613628703106505,0.714006443123775,9.43518516372798,12,0.0,0.0
pres_2012,sido_28,0.04598581386763229,0.5800325824328519,9.43518516372798,12,0.0,0.0
pres_2012,sido_29,0.3958364052922366,0.6984739752075511,9.43518516372798,12,0.0,0.0
pres_2012,sido_31,0.18882910696607122,0.6404147410808705,9.150098611678493,11,0.0,0.0
pres_2012,sido_41,0.03209693701330389,0.6835866215161666,9.43518516372798,12,0.0,0.0
pres_2012,sido_42,0.06841933136807866,0.6679124517452353,9.43518516372798,12,0.0,0.0
pres_2012,sido_45,0.4084712406760911,0.7098277607258577,9.43518516372798,12,0.0,0.0
pres_2012,sido_46,0.43897517421139937,0.7598649165151121,9.43518516372798,12,0.0,0.0
pres_2012,sido_47,0.23921625675881533,0.7156292412163127,9.43518516372798,12,0.0,0.0
pres_2012,sido_48,0.1663750930726357,0.626308569939142,9.43518516372798,12,0.0,0.0
pres_2012,sido_50,0.0810471646777378,0.58850703651642,4.5617113776780815,7,0.0,0.0
pres_2017,sido_11,0.06147492356725615,0.6885218568090764,12.495398372604084,16,0.0,0.0
