assembly_daesu,election_id,speaker_clean,roster_name,member_id,speaker_party,speaker_bloc,mandate_type,district,district_sido,district_bloc_type,term_count,seniority_weight,institutional_role,role_weight,meeting_weight,national_signal_weight,local_signal_weight,cross_region_signal_weight,base_mobilization_weight,mapping_confidence,notes
17,pres_2007,진술인 황병천,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,진실ㆍ화해를위한과거사정리 송기인,,,,,district,,,unknown,1,1.0,committee_chair,1.08,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,진실ㆍ화해를위한과거사정리위원회사무처장 설동일,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,진영 위원,,6103,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,질병관리본부장 이종구,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,차명진 위원,,6120,,,government,,,government,1,1.0,president,1.3,1.0,0.9,0.1,0.0,0.0,0.7,role inferred from transcript speaker label
17,pres_2007,차명진 위원,,6120,,,government,,,government,1,1.0,prime_minister,1.25,1.0,0.9,0.1,0.0,0.0,0.7,role inferred from transcript speaker label
17,pres_2007,차명진 위원,,6120,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,차명진 위원,,6120,,,district,,,unknown,1,1.0,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 강재규,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 공성용,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 권영애,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 김군선,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 김동환,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 김병일,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 김용재,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 김주수,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 김희태,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 박석순,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 박재광,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 박진섭,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 박창근,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 부청하,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 손태선,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
