election_id,issue_name,weighted_total,national_signal,local_signal,cross_region_signal,base_mobilization_signal,matched_rows,unique_speakers,avg_seniority_weight,avg_mapping_confidence,district_rows,proportional_rows,government_rows,district_speaker_share,proportional_speaker_share,government_speaker_share,national_share,local_share,cross_region_share,base_mobilization_share,source,notes
pres_2002,candidate_competence,1006.3227256762668,512.9244395336465,493.39828614262035,33.79148117132273,17.467913276612126,2479,882,1.0011093182734974,0.6022589753933038,1949,82,448,0.7862041145623235,0.03307785397337636,0.18071803146430013,0.509701735284724,0.490298264715276,0.0335791692954308,0.017358162377654123,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,corruption_integrity,2049.0352108195684,1000.8369871654219,1048.1982236541467,60.68247505628982,39.141366319834844,5006,891,1.0020575309628446,0.5886835797043547,4184,121,701,0.8357970435477428,0.02417099480623252,0.14003196164602477,0.488443039866118,0.5115569601338821,0.029615145086754356,0.019102339536751625,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,economy_growth,2917.8988349770952,1469.2528534573173,1448.645981519778,61.897313070937294,43.79868405610162,7698,1227,1.00084437516238,0.546836840737854,6482,134,1082,0.8420368926994024,0.017407118732138217,0.14055598856845933,0.5035311148711743,0.49646888512882575,0.021212974325555453,0.015010350438158843,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,education,1404.841342076237,715.5194129243991,689.3219291518378,27.355405007388843,14.10891713316419,5028,1080,1.0004375497215592,0.5516507557677008,4166,97,765,0.8285600636435959,0.019291964996022277,0.15214797136038186,0.5093240008632731,0.4906759991367268,0.019472238030068124,0.01004306800390171,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,endorsement_event,618.3112593391371,306.39257073539994,311.9186886037371,19.989941995599214,10.778202139139916,1881,696,1.0005316321105795,0.6065922381711856,1543,63,275,0.8203083466241361,0.03349282296650718,0.14619883040935672,0.495531281547223,0.504468718452777,0.03232990131372482,0.017431676969071958,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,external_shock,945.3312714796989,488.2519930892871,457.0792783904118,38.951154314560696,27.109315483834248,1426,600,1.0011921458625526,0.6786115007012623,1069,66,291,0.7496493688639552,0.04628330995792426,0.20406732117812063,0.516487720040236,0.4835122799597639,0.04120370867832566,0.02867705353849222,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,family_legal_risk,711.0501666195888,364.6077393260903,346.4424272934985,17.962768631813653,11.216925839383592,2399,761,1.001917465610671,0.6095664860358483,1905,95,399,0.7940808670279283,0.03959983326385994,0.16631929970821174,0.5127735797594646,0.4872264202405354,0.02526230844893918,0.015775153942667784,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,foreign_policy,837.1894703039151,441.11770897415323,396.0717613297619,17.366584047080543,19.000166447137122,2071,683,1.0018590053114438,0.6192419121197489,1588,85,398,0.766779333655239,0.04104297440849831,0.19217769193626266,0.5269030782410814,0.4730969217589187,0.020743911220928467,0.02269518086537772,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,gaffe_event,119.66936122682348,63.52654314713334,56.142818079690144,6.166304311948237,2.999625,200,132,1.00075,0.6940000000000001,153,21,26,0.765,0.105,0.13,0.5308505242768362,0.4691494757231638,0.05152784512871688,0.025065939763098226,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,gender_generation,331.74057150122366,172.4704492451037,159.27012225611992,7.603004632570892,3.5344679809625648,922,467,1.000704989154013,0.5997288503253797,715,36,171,0.7754880694143167,0.039045553145336226,0.18546637744034708,0.519895557135578,0.48010444286442194,0.022918525154053543,0.010654313293571714,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,housing,367.98943003027676,184.7536697446866,183.23576028559017,5.554766953639427,3.4369171692205356,999,382,1.0004504504504506,0.5583083083083084,822,9,168,0.8228228228228228,0.009009009009009009,0.16816816816816818,0.5020624362212952,0.49793756377870485,0.015094908984702093,0.009339717091704941,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,inflation_livelihood,682.277304010634,361.0836270770413,321.1936769335927,26.586886059765973,15.705209970382104,1308,558,1.000649847094801,0.6631498470948012,948,69,291,0.7247706422018348,0.052752293577981654,0.22247706422018348,0.5292329452474553,0.4707670547525447,0.03896785940772198,0.023018807569974983,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,jobs_labor,1134.0873780006991,565.3363176326731,568.7510603680261,33.11550606669223,19.959557499333744,3509,807,1.0012966657167284,0.589085209461385,2850,135,524,0.8121972071815332,0.038472499287546306,0.14933029353092048,0.4984944975133341,0.5015055024866659,0.029200136346700274,0.017599664617130972,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,regime_change,342.3604093321074,167.45328871034312,174.90712062176428,18.9881843607912,12.215322868910171,531,276,1.0008474576271187,0.7115819209039549,429,44,58,0.807909604519774,0.08286252354048965,0.10922787193973635,0.4891140568414986,0.5108859431585013,0.05546255888008264,0.035679718027970556,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,regional_dev,2225.508650643761,1107.4215301644676,1118.0871204792934,48.88892419226641,24.91859648689803,6318,1146,1.0008388730610953,0.5596153846153846,5288,83,947,0.8369737258626148,0.013137068692624248,0.149889205444761,0.4976037859228854,0.5023962140771145,0.021967528267357924,0.011196809538210494,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,security_nk,1680.7387403809048,871.9927581488832,808.7459822320216,36.15794190875786,32.41424241345972,4464,945,1.0021505376344086,0.6093637992831541,3445,147,872,0.7717293906810035,0.03293010752688172,0.1953405017921147,0.5188151716853174,0.4811848283146826,0.02151312458030414,0.01928571147596306,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,unification_event,225.10929296545564,118.91823667561226,106.19105628984339,10.137553437178449,4.409824269001633,541,323,1.0005545286506468,0.6464879852125693,405,26,110,0.7486136783733827,0.04805914972273567,0.2033271719038817,0.528268891563979,0.47173110843602106,0.045033917985492125,0.019589703343248235,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,welfare_pension,1144.1578369692,597.7835405431075,546.3742964260924,26.469507166362064,12.945869744770418,3338,794,1.0014379868184542,0.5796734571599761,2706,112,520,0.8106650689035351,0.033553025763930495,0.15578190533253444,0.5224659756092721,0.47753402439072795,0.023134489238371234,0.01131475861675098,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2002,withdrawal_event,71.6943281128137,36.35368148345283,35.340646629360855,3.921248232044199,2.3703234338441073,176,111,1.0008522727272728,0.7465909090909091,126,16,34,0.7159090909090909,0.09090909090909091,0.19318181818181818,0.5070649581407467,0.49293504185925324,0.054693981173433534,0.03306151959628264,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,candidate_competence,713.6324625,313.557491530647,400.074970969353,0.0,0.0,2009,626,1.003359880537581,0.4984818317570931,1861,0,148,0.9263315082130413,0.0,0.07366849178695868,0.4393823263479231,0.5606176736520769,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,corruption_integrity,1961.43946785,837.505455054293,1123.934012795707,0.0,0.0,5521,661,1.0031787719616012,0.495471834812534,5247,0,274,0.9503713095453722,0.0,0.04962869045462778,0.4269851141377872,0.5730148858622127,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,economy_growth,2735.736618000001,1217.300889394138,1518.4357286058628,0.0,0.0,8698,848,1.0012531616463554,0.4836341687744309,7943,0,755,0.913198436422166,0.0,0.08680156357783399,0.4449627502095078,0.5550372497904922,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,education,1492.86502625,664.5362961452237,828.3287301047762,0.0,0.0,8468,855,1.0021374586679264,0.48834435521965047,7692,0,776,0.9083608880491261,0.0,0.09163911195087387,0.4451415797545372,0.5548584202454627,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,endorsement_event,516.062835,227.13492900459735,288.9279059954026,0.0,0.0,1801,523,1.0014991671293727,0.4846751804553026,1688,0,113,0.9372570794003331,0.0,0.06274292059966685,0.4401303748304165,0.5598696251695836,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,external_shock,309.0117735000001,138.70160871294928,170.31016478705084,0.0,0.0,741,307,1.0012145748987853,0.49412955465587044,679,0,62,0.9163292847503374,0.0,0.08367071524966262,0.448855417843648,0.551144582156352,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,family_legal_risk,608.63326,269.17050562955853,339.4627543704414,0.0,0.0,2153,581,1.003065490013934,0.5075708313980493,2014,0,139,0.9354389224338133,0.0,0.06456107756618672,0.4422540194887781,0.5577459805112219,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,foreign_policy,548.5130612500001,254.1590414203936,294.35401982960644,0.0,0.0,1903,483,1.0035470310036785,0.5132685233841303,1684,0,219,0.8849185496584341,0.0,0.11508145034156594,0.4633600535257875,0.5366399464742124,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,gaffe_event,95.04075,38.675050000000006,56.365700000000004,0.0,0.0,155,111,1.0025806451612904,0.5112903225806451,153,0,2,0.9870967741935484,0.0,0.012903225806451613,0.40693123739027737,0.5930687626097227,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,gender_generation,320.128355,142.99134413310162,177.13701086689838,0.0,0.0,937,359,1.001974386339381,0.4995731056563501,835,0,102,0.8911419423692636,0.0,0.10885805763073639,0.44666878737780547,0.5533312126221945,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,housing,399.33063975,175.179190275,224.151449475,0.0,0.0,1031,305,1.000921435499515,0.5002424830261881,912,0,119,0.8845780795344326,0.0,0.11542192046556742,0.43868206653181063,0.5613179334681894,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,inflation_livelihood,341.1135980000001,155.45663920000004,185.65695880000004,0.0,0.0,853,355,1.0022860492379837,0.511137162954279,738,0,115,0.8651817116060961,0.0,0.13481828839390386,0.45573275328648727,0.5442672467135127,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,jobs_labor,898.5024312500003,397.9491885476089,500.55324270239146,0.0,0.0,3592,573,1.0055122494432072,0.5147410913140312,3173,0,419,0.8833518930957683,0.0,0.11664810690423162,0.4429027398334141,0.557097260166586,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,regime_change,1143.5545063474997,503.410986932443,640.1435194150567,0.0,0.0,5366,846,1.003997390980246,0.5067834513604175,5001,0,365,0.9319791278419679,0.0,0.06802087215803206,0.44021599682233953,0.5597840031776605,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,regional_dev,2259.4173175,1013.0325235674867,1246.3847939325133,0.0,0.0,6922,880,1.0013074255995378,0.4898223056919966,6219,0,703,0.8984397572955793,0.0,0.10156024270442068,0.4483600774948414,0.5516399225051586,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,security_nk,901.14276125,403.7851106095472,497.35765064045285,0.0,0.0,3385,553,1.0026883308714918,0.5163220088626292,2858,0,527,0.8443131462333826,0.0,0.15568685376661742,0.4480811786685671,0.5519188213314329,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,unification_event,90.618365,41.3832835,49.2350815,0.0,0.0,287,190,1.002787456445993,0.49494773519163765,266,0,21,0.926829268292683,0.0,0.07317073170731707,0.45667656329928263,0.5433234367007174,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,welfare_pension,1051.33694625,479.0973827018197,572.2395635481803,0.0,0.0,4093,593,1.0013926215489861,0.5023088199364769,3577,0,516,0.8739311018812607,0.0,0.1260688981187393,0.45570298314988916,0.5442970168501108,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2007,withdrawal_event,53.13944,22.989901000000003,30.149539,0.0,0.0,125,70,1.0024,0.48640000000000005,122,0,3,0.976,0.0,0.024,0.4326334827766345,0.5673665172233655,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2012,candidate_competence,768.7874100000001,344.02638726391075,424.7610227360894,0.0,0.0,2212,640,1.0030741410488246,0.4896699819168174,2017,0,195,0.9118444846292948,0.0,0.08815551537070525,0.44749222319328913,0.5525077768067108,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2012,corruption_integrity,1900.0795875,823.5178926868505,1076.5616948131494,0.0,0.0,5516,667,1.005266497461929,0.4923132704858593,5121,0,395,0.9283901377810008,0.0,0.07160986221899927,0.4334123149917006,0.5665876850082994,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
pres_2012,economy_growth,2996.226068,1315.953222256707,1680.272845743293,0.0,0.0,9601,927,1.0019477137798147,0.47830434329757315,8884,0,717,0.9253202791375899,0.0,0.07467972086241016,0.43920358223674166,0.5607964177632584,0.0,0.0,assembly_15_22_speaker_weighting,Derived from 15th-22nd Assembly speaker-level issue phrase matches
