election_id,region_id,candidate_name,before,ceiling,excess_redistributed,recipient_weight_mode
pres_2002,sido_11,권영길,0.1292681919341171,0.0606258521078621,0.06864233982625499,live
pres_2002,sido_26,권영길,0.1444537470716957,0.1066515387888241,0.037802208282871605,live
pres_2002,sido_27,권영길,0.1291134270437314,0.0517226551782035,0.07739077186552791,live
pres_2002,sido_28,권영길,0.1394464321159601,0.0628007914541385,0.07664564066182161,live
pres_2002,sido_30,권영길,0.1742298203562861,0.0754167269552507,0.09881309340103539,live
pres_2002,sido_41,권영길,0.1372440460854891,0.0582204292272907,0.07902361685819839,live
pres_2002,sido_42,권영길,0.1552406582422116,0.0864477669194098,0.0687928913228018,live
pres_2002,sido_43,권영길,0.1626633721702847,0.0733073690080161,0.0893560031622686,live
pres_2002,sido_44,권영길,0.1749591468509912,0.0454043056427732,0.129554841208218,live
pres_2002,sido_45,권영길,0.134056236409845,0.1276552625263326,0.006400973883512379,live
pres_2002,sido_47,권영길,0.1349478914001445,0.04496114370304,0.08998674769710449,live
pres_2002,sido_48,권영길,0.1459805563517457,0.0895669194284756,0.0564136369232701,live
