election_id,region_id,beneficiary_slot,burdened_slot,projected_margin,government_rejection_strength,dominance_activation,regime_certainty,veto_rate,base_runner_core_floor,rupture_floor_activation,theoretical_floor,effective_runner_floor,runner_flexible_mass,transfer
pres_2007,sido_11,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.224727422604459,-0.0,0.01,0.224727422604459,0.09671436283584811,0.012482334383949177
pres_2007,sido_26,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.120820154692651,-0.0,0.01,0.120820154692651,0.0654394232585791,0.00844586821497
pres_2007,sido_27,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.0500926382623774,-0.0,0.01,0.0500926382623774,0.03356575289206971,0.0043321275058074895
pres_2007,sido_28,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.1882964963574757,-0.0,0.01,0.1882964963574757,0.1252581696675938,0.016166309866157896
pres_2007,sido_29,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.4982564482308189,-0.0,0.01,0.4982564482308189,0.24515115085030442,0.03164016749732674
pres_2007,sido_30,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.1749885957265136,-0.0,0.01,0.1749885957265136,0.1603262052562035,0.02069232785945441
pres_2007,sido_31,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.0922216716368157,-0.0,0.01,0.0922216716368157,0.07406591355753779,0.009559236832765246
pres_2007,sido_41,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.1969781637048186,-0.0,0.01,0.1969781637048186,0.12485909942741139,0.016114804298271414
pres_2007,sido_42,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.1620964538589391,-0.0,0.01,0.1620964538589391,0.09086661795063719,0.011727601530328232
pres_2007,sido_43,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.1871115693451475,-0.0,0.01,0.1871115693451475,0.1280911835340896,0.01653194972934953
pres_2007,sido_44,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.1339414116449834,-0.0,0.01,0.1339414116449834,0.1870688675571972,0.024143840575560575
pres_2007,sido_45,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.5005601823585055,-0.0,0.01,0.5005601823585055,0.25169433683665987,0.03248465670268586
