election_id,candidate_name,prediction_logit_sd,prior_logit_sd,core_voting_mass,direct_party_reliability,missing_dispersion_ratio,dispersion_factor,gain
pres_2002,권영길,0.35716592194876273,1.4332314900476524,0.0,0.32974552539788626,3.012789020373721,1.0,1.0
pres_2002,노무현,0.9841000359809025,1.0822538817109086,0.2991534150582068,0.32974552539788626,0.099739703425751,1.0098387731768697,1.0
pres_2002,이회창,1.202186573435252,0.9755330193034732,0.4216335696435015,0.32974552539788626,0.0,1.0,1.0
pres_2007,이명박,0.6983811403459829,1.0498787961549478,0.413602911427967,0.6507587880523347,0.5033034764295476,1.135467014295761,1.0
pres_2007,이회창,0.28955309536956725,0.0,0.0,0.0,0.0,1.0,1.0
pres_2007,정동영,0.8429217932378356,0.818077771595836,0.31619584078360546,0.6525745069416438,0.0,1.0,1.0
pres_2012,문재인,0.9494037070713038,0.7167566280640721,0.30840422371960613,0.7825470812312081,0.0,1.0,1.0
pres_2012,박근혜,0.9494037070713042,0.9065576611336885,0.42948219450639635,0.7817260272847165,0.0,1.0,1.0
pres_2017,문재인,0.2974696638018465,0.5884057292481443,0.3153233707566028,0.8277866250223049,0.9780360851858128,1.2552874375262615,1.0
pres_2017,안철수,0.1802629726139425,0.3934133341529029,0.0,0.6913712676936701,1.1824411771764725,1.0,1.0
pres_2017,홍준표,0.6654354032805834,0.8585293769160098,0.41742933677827654,0.8273102851805098,0.2901768867172936,1.1002107259521474,1.0
pres_2022,심상정,0.1907122363855329,0.26820798712961175,0.0,0.8514146232723506,0.40634912689827574,1.0,1.0
pres_2022,윤석열,0.6953315016853835,0.8231212108883244,0.36683688895411,0.8541729137166695,0.18378242448845916,1.0575867771354341,1.0
pres_2022,이재명,0.6533719332505594,0.5014781497935848,0.3505923902113199,0.8551921400674651,0.0,1.0,1.0
