target_election,selection_training_elections,responsive_training_elections,responsive_training_count,default_gain,raw_selected_gain,selection_reliability,selected_gain,target_excluded_from_selection,prior_macro_mae_gain_0.40,prior_macro_mae_gain_0.50,prior_macro_mae_gain_0.60,prior_macro_mae_gain_0.70
pres_2002,,,0,0.5,0.5,0.0,0.5,True,,,,
pres_2007,pres_2002,,0,0.5,0.5,0.0,0.5,True,,,,
pres_2012,pres_2002|pres_2007,pres_2007,1,0.5,0.7,0.5,0.6,True,4.577970678272869,4.370620999882654,4.184860220907074,4.038387350024918
pres_2017,pres_2002|pres_2007|pres_2012,pres_2007|pres_2012,2,0.5,0.7,0.6666666666666666,0.6333333333333333,True,3.9253091241367293,3.794896911926388,3.67887911774582,3.5890548655596657
pres_2022,pres_2002|pres_2007|pres_2012|pres_2017,pres_2007|pres_2012|pres_2017,3,0.5,0.7,0.75,0.6499999999999999,True,4.065479064434983,3.9171432929395626,3.7881974513622336,3.6849372280559205
