variant,election_id,regional_weighted_mae_pp,rows,national_candidate_mae_pp
strict_base,pres_2002,3.5071207618246243,32,2.3341559232571614
strict_base,pres_2007,10.90504192063946,48,9.388526050167684
strict_base,pres_2012,3.2390935168932424,34,2.2492204732309533
strict_base,pres_2017,8.130603395827512,51,7.563741861181279
strict_base,pres_2022,1.5949131645687875,34,0.5270440846683544
structural,pres_2002,3.98164116001174,32,3.322039828338108
structural,pres_2007,8.085691104057158,48,6.36744279817817
structural,pres_2012,2.5262025220557187,34,0.24278992465417426
structural,pres_2017,8.732866776507251,51,8.62064502673209
structural,pres_2022,1.3655573769185902,34,0.17576810448936275
structural_mega,pres_2002,3.98164116001174,32,3.322039828338108
structural_mega,pres_2007,8.085691104057158,48,6.36744279817817
structural_mega,pres_2012,2.5262025220557187,34,0.24278992465417704
structural_mega,pres_2017,7.384309195157729,51,7.090878590418491
structural_mega,pres_2022,1.3655573769185902,34,0.17576810448936275
structural_mega_shock,pres_2002,3.98164116001174,32,3.322039828338108
structural_mega_shock,pres_2007,7.89533644644684,48,6.115810226555767
structural_mega_shock,pres_2012,2.5262025220557187,34,0.24278992465417704
structural_mega_shock,pres_2017,6.1752618961002,51,5.591379092011618
structural_mega_shock,pres_2022,1.3655573769185902,34,0.17576810448936275
structural_mega_shock_regime,pres_2002,3.98164116001174,32,3.322039828338108
structural_mega_shock_regime,pres_2007,4.759600839753567,48,1.6760990699655116
structural_mega_shock_regime,pres_2012,2.6669169114233098,34,0.16267382369383465
structural_mega_shock_regime,pres_2017,4.06577710426629,51,2.6526420593729405
structural_mega_shock_regime,pres_2022,1.3655573769185902,34,0.17576810448936275
