election_id,row_mae_pp,n_rows
pres_2002,4.032266699164086,32
pres_2007,4.287724313732306,48
pres_2012,4.041514000827043,34
pres_2017,3.7920115172583206,51
pres_2022,2.1298878829848964,34
Overall,3.7088620746843297,199
