election_id,issue_name,macro_issue_multiplier,macro_speech_strength_multiplier,macro_phrase_bonus_multiplier,economy_epoch_weight,housing_epoch_weight,growth_within_economy_weight,trade_within_economy_weight,kospi_within_economy_weight,interest_rate_within_economy_weight,economic_issue_activation,housing_issue_activation,interest_rate_stress_index
pres_1992,economy_growth,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1992,inflation_livelihood,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1992,jobs_labor,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1992,housing,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1992,external_shock,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1992,foreign_policy,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1992,regional_dev,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1997,economy_growth,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1997,inflation_livelihood,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1997,jobs_labor,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1997,housing,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1997,external_shock,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1997,foreign_policy,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_1997,regional_dev,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
pres_2002,economy_growth,1.0496922060032905,1.0265025098684215,1.0165640686677635,1.0,0.0,0.13009214769333652,0.4802622267339687,0.18379748287167266,0.20584814270102214,0.33128137335526947,0.0,0.1463896886325699
pres_2002,inflation_livelihood,1.0397537648026323,1.0212020078947373,1.0132512549342108,1.0,0.0,0.13009214769333652,0.4802622267339687,0.18379748287167266,0.20584814270102214,0.33128137335526947,0.0,0.1463896886325699
pres_2002,jobs_labor,1.0422383751027968,1.0225271333881583,1.014079458367599,1.0,0.0,0.13009214769333652,0.4802622267339687,0.18379748287167266,0.20584814270102214,0.33128137335526947,0.0,0.1463896886325699
pres_2002,housing,1.0149076618009871,1.0079507529605265,1.0049692206003291,1.0,0.0,0.13009214769333652,0.4802622267339687,0.18379748287167266,0.20584814270102214,0.33128137335526947,0.0,0.1463896886325699
pres_2002,external_shock,1.0347845442023034,1.018551756907895,1.0115948480674344,1.0,0.0,0.13009214769333652,0.4802622267339687,0.18379748287167266,0.20584814270102214,0.33128137335526947,0.0,0.1463896886325699
pres_2002,foreign_policy,1.0223614927014806,1.0119261294407897,1.0074538309004937,1.0,0.0,0.13009214769333652,0.4802622267339687,0.18379748287167266,0.20584814270102214,0.33128137335526947,0.0,0.1463896886325699
pres_2002,regional_dev,1.0124230515008226,1.0066256274671055,1.004141017166941,1.0,0.0,0.13009214769333652,0.4802622267339687,0.18379748287167266,0.20584814270102214,0.33128137335526947,0.0,0.1463896886325699
pres_2007,economy_growth,1.0509962402306816,1.0271979947896968,1.0169987467435606,1.0,0.0,0.11593073894589395,0.17460434435124447,0.25247591082411736,0.45698900587874414,0.33997493487121044,0.0,0.5691936464630993
pres_2007,inflation_livelihood,1.0407969921845452,1.0217583958317575,1.0135989973948485,1.0,0.0,0.11593073894589395,0.17460434435124447,0.25247591082411736,0.45698900587874414,0.33997493487121044,0.0,0.5691936464630993
pres_2007,jobs_labor,1.0433468041960794,1.0231182955712423,1.0144489347320265,1.0,0.0,0.11593073894589395,0.17460434435124447,0.25247591082411736,0.45698900587874414,0.33997493487121044,0.0,0.5691936464630993
pres_2007,housing,1.0152988720692044,1.008159398436909,1.005099624023068,1.0,0.0,0.11593073894589395,0.17460434435124447,0.25247591082411736,0.45698900587874414,0.33997493487121044,0.0,0.5691936464630993
pres_2007,external_shock,1.0356973681614772,1.0190385963527877,1.0118991227204923,1.0,0.0,0.11593073894589395,0.17460434435124447,0.25247591082411736,0.45698900587874414,0.33997493487121044,0.0,0.5691936464630993
pres_2007,foreign_policy,1.0229483081038067,1.0122390976553637,1.0076494360346022,1.0,0.0,0.11593073894589395,0.17460434435124447,0.25247591082411736,0.45698900587874414,0.33997493487121044,0.0,0.5691936464630993
pres_2007,regional_dev,1.0127490600576703,1.0067994986974242,1.00424968668589,1.0,0.0,0.11593073894589395,0.17460434435124447,0.25247591082411736,0.45698900587874414,0.33997493487121044,0.0,0.5691936464630993
pres_2012,economy_growth,1.058079494663621,1.0309757304872644,1.0193598315545402,0.6111506514961007,0.3888493485038992,0.15003435609990595,0.5661003838770308,0.19895020244150866,0.08491505758155463,0.3871966310908063,0.10908063335310432,0.0
pres_2012,inflation_livelihood,1.0505541194816381,1.0269621970568736,1.016851373160546,0.6111506514961007,0.3888493485038992,0.15003435609990595,0.5661003838770308,0.19895020244150866,0.08491505758155463,0.3871966310908063,0.10908063335310432,0.0
pres_2012,jobs_labor,1.049367570464078,1.0263293709141748,1.0164558568213593,0.6111506514961007,0.3888493485038992,0.15003435609990595,0.5661003838770308,0.19895020244150866,0.08491505758155463,0.3871966310908063,0.10908063335310432,0.0
pres_2012,housing,1.033785943402052,1.0180191698144276,1.0112619811340173,0.6111506514961007,0.3888493485038992,0.15003435609990595,0.5661003838770308,0.19895020244150866,0.08491505758155463,0.3871966310908063,0.10908063335310432,0.0
pres_2012,external_shock,1.0406556462645347,1.021683011341085,1.0135518820881781,0.6111506514961007,0.3888493485038992,0.15003435609990595,0.5661003838770308,0.19895020244150866,0.08491505758155463,0.3871966310908063,0.10908063335310432,0.0
pres_2012,foreign_policy,1.0261357725986295,1.013939078719269,1.008711924199543,0.6111506514961007,0.3888493485038992,0.15003435609990595,0.5661003838770308,0.19895020244150866,0.08491505758155463,0.3871966310908063,0.10908063335310432,0.0
pres_2012,regional_dev,1.019428502166795,1.0103618678222905,1.0064761673889318,0.6111506514961007,0.3888493485038992,0.15003435609990595,0.5661003838770308,0.19895020244150866,0.08491505758155463,0.3871966310908063,0.10908063335310432,0.0
pres_2017,economy_growth,1.0575540458666888,1.0306954911289006,1.019184681955563,0.6256890511143974,0.3743109488856027,0.14988651713543702,0.49544556900120407,0.27635752984370104,0.07831038401965786,0.3836936391112578,0.08524184055496192,0.0
pres_2017,inflation_livelihood,1.049239805714162,1.0262612297142197,1.0164132685713874,0.6256890511143974,0.3743109488856027,0.14988651713543702,0.49544556900120407,0.27635752984370104,0.07831038401965786,0.3836936391112578,0.08524184055496192,0.0
pres_2017,jobs_labor,1.0489209389866854,1.0260911674595656,1.0163069796622284,0.6256890511143974,0.3743109488856027,0.14988651713543702,0.49544556900120407,0.27635752984370104,0.07831038401965786,0.3836936391112578,0.08524184055496192,0.0
pres_2017,housing,1.0300524898432508,1.0160279945830673,1.0100174966144169,0.6256890511143974,0.3743109488856027,0.14988651713543702,0.49544556900120407,0.27635752984370104,0.07831038401965786,0.3836936391112578,0.08524184055496192,0.0
pres_2017,external_shock,1.040287832106682,1.0214868437902305,1.013429277368894,0.6256890511143974,0.3743109488856027,0.14988651713543702,0.49544556900120407,0.27635752984370104,0.07831038401965786,0.3836936391112578,0.08524184055496192,0.0
pres_2017,foreign_policy,1.02589932064001,1.0138129710080053,1.0086331068800034,0.6256890511143974,0.3743109488856027,0.14988651713543702,0.49544556900120407,0.27635752984370104,0.07831038401965786,0.3836936391112578,0.08524184055496192,0.0
pres_2017,regional_dev,1.0182243942916454,1.0097196769555443,1.0060747980972151,0.6256890511143974,0.3743109488856027,0.14988651713543702,0.49544556900120407,0.27635752984370104,0.07831038401965786,0.3836936391112578,0.08524184055496192,0.0
pres_2022,economy_growth,1.031565400964643,1.0168348805144765,1.0105218003215477,0.4923083820744727,0.5076916179255274,0.135710949656742,0.3831951151516625,0.29816819297401287,0.1829257422175826,0.21043600643095442,0.2734146348408382,0.20761738123515316
pres_2022,inflation_livelihood,1.035505369578246,1.018936197108398,1.0118351231927487,0.4923083820744727,0.5076916179255274,0.135710949656742,0.3831951151516625,0.29816819297401287,0.1829257422175826,0.21043600643095442,0.2734146348408382,0.20761738123515316
pres_2022,jobs_labor,1.0268305908199467,1.0143096484373049,1.0089435302733156,0.4923083820744727,0.5076916179255274,0.135710949656742,0.3831951151516625,0.29816819297401287,0.1829257422175826,0.21043600643095442,0.2734146348408382,0.20761738123515316
pres_2022,housing,1.0504818155155187,1.02692363494161,1.0168272718385063,0.4923083820744727,0.5076916179255274,0.135710949656742,0.3831951151516625,0.29816819297401287,0.1829257422175826,0.21043600643095442,0.2734146348408382,0.20761738123515316
pres_2022,external_shock,1.0220957806752502,1.0117844163601335,1.0073652602250833,0.4923083820744727,0.5076916179255274,0.135710949656742,0.3831951151516625,0.29816819297401287,0.1829257422175826,0.21043600643095442,0.2734146348408382,0.20761738123515316
pres_2022,foreign_policy,1.0142044304340894,1.0075756962315143,1.0047348101446965,0.4923083820744727,0.5076916179255274,0.135710949656742,0.3831951151516625,0.29816819297401287,0.1829257422175826,0.21043600643095442,0.2734146348408382,0.20761738123515316
pres_2022,regional_dev,1.0201950088089986,1.0107706713647993,1.0067316696029995,0.4923083820744727,0.5076916179255274,0.135710949656742,0.3831951151516625,0.29816819297401287,0.1829257422175826,0.21043600643095442,0.2734146348408382,0.20761738123515316
