region_id,region_name,abs_err_pp
sido_50,제주,5.140343176405932
sido_36,세종,4.53264318800939
sido_11,서울,4.472788113432928
sido_46,전남,4.393398251869124
sido_31,울산,4.317762091585972
sido_41,경기,4.168165134763808
sido_29,광주,4.1393262156078094
sido_28,인천,4.127357628139806
sido_30,대전,4.043314462182325
sido_48,경남,3.847981674647263
sido_26,부산,3.8432857701853487
sido_27,대구,3.738456464539361
sido_45,전북,3.2806609897503543
sido_44,충남,2.7877433871022883
sido_42,강원,2.658614828856351
sido_43,충북,2.4713269609380504
sido_47,경북,1.4307290621696065
