variant,regional_equal_election_macro_mae_pp,national_equal_election_macro_mae_pp,winner_accuracy,rows,strong_incumbent_veto_gain,rupture_floor_erosion_enabled,weak_same_lane_gain,weak_floor_mode,recipient_weight_mode,theoretical_floor,regional_row_macro_mae_pp,declared_primary,followup_structural_candidate
strong_1.00__rupture_0__weak_0.50__floor_candidate_ballot__recipient_affinity_only,3.092635385762102,1.713091743331231,0.8,232,1.0,False,0.5,candidate_ballot,affinity_only,0.01,3.5860070212964468,False,False
strong_1.00__rupture_0__weak_0.50__floor_candidate_ballot__recipient_prediction_tilted,3.156060041851034,1.7898908518147443,0.8,232,1.0,False,0.5,candidate_ballot,prediction_tilted,0.01,3.6617655012429626,False,False
strong_1.00__rupture_0__weak_0.50__floor_none__recipient_affinity_only,2.8127510447076634,1.3303197376612497,0.6,232,1.0,False,0.5,none,affinity_only,0.01,3.154712360174355,False,False
strong_1.00__rupture_0__weak_0.50__floor_none__recipient_prediction_tilted,2.928317097820783,1.3861928246479187,0.8,232,1.0,False,0.5,none,prediction_tilted,0.01,3.3163543753868456,False,False
strong_1.00__rupture_0__weak_0.50__floor_theoretical__recipient_affinity_only,2.8416472523907075,1.3969864043279163,0.6,232,1.0,False,0.5,theoretical,affinity_only,0.01,3.2033497665370327,False,False
strong_1.00__rupture_0__weak_0.50__floor_theoretical__recipient_prediction_tilted,2.951985934545496,1.4996099263067453,0.8,232,1.0,False,0.5,theoretical,prediction_tilted,0.01,3.3526729112782276,False,False
strong_1.00__rupture_1__weak_0.25__floor_candidate_ballot__recipient_affinity_only,3.0657172404463218,1.4963274229398908,0.8,232,1.0,True,0.25,candidate_ballot,affinity_only,0.01,3.685972342537852,False,False
strong_1.00__rupture_1__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,3.0942109399650914,1.534726977181648,0.8,232,1.0,True,0.25,candidate_ballot,prediction_tilted,0.01,3.7217021978372724,False,False
strong_1.00__rupture_1__weak_0.25__floor_none__recipient_affinity_only,2.8786735481704384,1.2670843249672046,0.8,232,1.0,True,0.25,none,affinity_only,0.01,3.432467833820405,False,False
strong_1.00__rupture_1__weak_0.25__floor_none__recipient_prediction_tilted,2.9392640137064596,1.3314658938132742,0.8,232,1.0,True,0.25,none,prediction_tilted,0.01,3.515330652583135,False,False
strong_1.00__rupture_1__weak_0.25__floor_theoretical__recipient_affinity_only,2.927061940393611,1.3337509916338717,0.8,232,1.0,True,0.25,theoretical,affinity_only,0.01,3.481763067196624,False,False
strong_1.00__rupture_1__weak_0.25__floor_theoretical__recipient_prediction_tilted,2.9786907059713315,1.3895865144276485,0.8,232,1.0,True,0.25,theoretical,prediction_tilted,0.01,3.5561930761002953,False,False
strong_1.00__rupture_1__weak_0.50__floor_candidate_ballot__recipient_affinity_only,2.910437291025995,1.2891498673877115,0.8,232,1.0,True,0.5,candidate_ballot,affinity_only,0.01,3.4975438343589413,False,False
strong_1.00__rupture_1__weak_0.50__floor_candidate_ballot__recipient_prediction_tilted,2.973861947114926,1.3659489758712247,0.8,232,1.0,True,0.5,candidate_ballot,prediction_tilted,0.01,3.5733023143054585,False,False
strong_1.00__rupture_1__weak_0.50__floor_none__recipient_affinity_only,2.630552949971556,0.9063778617177303,0.6,232,1.0,True,0.5,none,affinity_only,0.01,3.0662491732368506,False,False
strong_1.00__rupture_1__weak_0.50__floor_none__recipient_prediction_tilted,2.7461190030846754,0.9622509487043992,0.8,232,1.0,True,0.5,none,prediction_tilted,0.01,3.227891188449341,False,False
strong_1.00__rupture_1__weak_0.50__floor_theoretical__recipient_affinity_only,2.6594491576546004,0.9730445283843968,0.6,232,1.0,True,0.5,theoretical,affinity_only,0.01,3.1148865795995286,True,False
strong_1.00__rupture_1__weak_0.50__floor_theoretical__recipient_prediction_tilted,2.7697878398093887,1.0756680503632259,0.8,232,1.0,True,0.5,theoretical,prediction_tilted,0.01,3.2642097243407227,False,True
