variant,layer,election_id,region_id,beneficiary_slot,burdened_slot,projected_margin,government_rejection_strength,dominance_activation,regime_certainty,veto_rate,base_runner_core_floor,rupture_floor_activation,theoretical_floor,effective_runner_floor,runner_flexible_mass,transfer,donor_slot,recipient_slots,candidate_ballot_recent_base,floor_mode,recipient_weight_mode,protected_floor,before,reservoir,gain,after
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_11,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.2981507946412702,0.0,0.01,0.2981507946412702,0.020775818418153735,0.001307252932608046,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_26,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.3539560494922693,0.0,0.01,0.3539560494922693,0.03533489788607641,0.00222333714876028,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_27,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.4618834178563183,0.0,0.01,0.4618834178563183,0.035586450889516674,0.0022391653291397493,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_28,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.2930148075897038,0.0,0.01,0.2930148075897038,0.02963264010423733,0.0018645405392711107,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_29,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.0341806016229801,0.0,0.01,0.0341806016229801,0.020989257269728195,0.0013206829000364001,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_30,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.2396170369219419,0.0,0.01,0.2396170369219419,0.029086009721897926,0.001830145544283022,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_31,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.3553353097157836,0.0,0.01,0.3553353097157836,0.03151593008562664,0.001983040629210832,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_36,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.1724331995485346,0.0,0.01,0.1724331995485346,0.05851073368036361,0.0036816036149925546,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_41,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.2904867750077805,0.0,0.01,0.2904867750077805,0.029907444360296687,0.0018818317314829597,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_42,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.3376440484133232,0.0,0.01,0.3376440484133232,0.03245600676312743,0.0020421919930129684,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_43,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.2911638514975106,0.0,0.01,0.2911638514975106,0.03015423544612711,0.0018973602831963035,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_44,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.2550776099850012,0.0,0.01,0.2550776099850012,0.030969977487163403,0.001948688281638212,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_45,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.0682483484546126,0.0,0.01,0.0682483484546126,0.025322934131601596,0.001593365866003672,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_46,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.0438553923470368,0.0,0.01,0.0438553923470368,0.020205248004484,0.001271351586556744,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_47,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.4863134552896404,0.0,0.01,0.4863134552896404,0.03603439177059248,0.0022673505981210046,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_48,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.3752628188705947,0.0,0.01,0.3752628188705947,0.034783946318121595,0.0021886702567785613,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,strong_incumbent_veto,pres_2017,sido_50,A,B,0.14222159439442095,0.1258437002381364,1.0,1.0,0.0629218501190682,0.2397495310485979,0.0,0.01,0.2397495310485979,0.045654470168853906,0.0028726637292300957,,,,,,,,,,
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,weak_same_lane_refusal,pres_2002,sido_11,,,,,,,,,,,,,0.010842633456907926,C,A,0.0172553182802303,candidate_ballot,affinity_only,0.0172553182802303,0.060625852107862005,0.0433705338276317,0.25,0.04978321865095408
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,weak_same_lane_refusal,pres_2002,sido_26,,,,,,,,,,,,,0.0167082641960545,C,A,0.039818482004606,candidate_ballot,affinity_only,0.039818482004606,0.106651538788824,0.066833056784218,0.25,0.08994327459276949
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,weak_same_lane_refusal,pres_2002,sido_27,,,,,,,,,,,,,0.011476550800502226,C,A,0.0058164519761945,candidate_ballot,affinity_only,0.0058164519761945,0.0517226551782034,0.0459062032020089,0.25,0.04024610437770118
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,weak_same_lane_refusal,pres_2002,sido_28,,,,,,,,,,,,,0.009323625249517652,C,A,0.0255062904560678,candidate_ballot,affinity_only,0.0255062904560678,0.0628007914541384,0.03729450099807061,0.25,0.05347716620462075
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,weak_same_lane_refusal,pres_2002,sido_29,,,,,,,,,,,,,0.014181589031599096,C,A,0.0779749988731636,candidate_ballot,affinity_only,0.0779749988731636,0.13470135499955999,0.056726356126396385,0.25,0.12051976596796089
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,weak_same_lane_refusal,pres_2002,sido_30,,,,,,,,,,,,,0.014112278446669096,C,A,0.0189676131685742,candidate_ballot,affinity_only,0.0189676131685742,0.07541672695525059,0.056449113786676386,0.25,0.061304448508581494
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,weak_same_lane_refusal,pres_2002,sido_41,,,,,,,,,,,,,0.009335599488619926,C,A,0.0208780312728109,candidate_ballot,affinity_only,0.0208780312728109,0.0582204292272906,0.0373423979544797,0.25,0.04888482973867067
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,weak_same_lane_refusal,pres_2002,sido_42,,,,,,,,,,,,,0.016604712040343528,C,A,0.0200289187580357,candidate_ballot,affinity_only,0.0200289187580357,0.08644776691940981,0.06641884816137411,0.25,0.06984305487906628
strong_0.50__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,weak_same_lane_refusal,pres_2002,sido_43,,,,,,,,,,,,,0.015358920284495776,C,A,0.0118716878700329,candidate_ballot,affinity_only,0.0118716878700329,0.073307369008016,0.0614356811379831,0.25,0.05794844872352023
