variant,strong_incumbent_veto_gain,rupture_floor_erosion_enabled,weak_same_lane_gain,weak_floor_mode,recipient_weight_mode,election_id,regional_weighted_mae_pp,rows,national_candidate_mae_pp
strong_1.00__rupture_0__weak_0.25__floor_theoretical__recipient_affinity_only,1.0,False,0.25,theoretical,affinity_only,pres_2022,1.6965972855637268,51,1.1531126053275225
strong_1.00__rupture_0__weak_0.25__floor_theoretical__recipient_prediction_tilted,1.0,False,0.25,theoretical,prediction_tilted,pres_2002,3.238821654231486,48,3.111937738472525
strong_1.00__rupture_0__weak_0.25__floor_theoretical__recipient_prediction_tilted,1.0,False,0.25,theoretical,prediction_tilted,pres_2007,4.040512064904603,48,1.1211846070051759
strong_1.00__rupture_0__weak_0.25__floor_theoretical__recipient_prediction_tilted,1.0,False,0.25,theoretical,prediction_tilted,pres_2012,2.559193926025741,34,1.0323421899684133
strong_1.00__rupture_0__weak_0.25__floor_theoretical__recipient_prediction_tilted,1.0,False,0.25,theoretical,prediction_tilted,pres_2017,4.250059645429084,51,2.6490648110822006
strong_1.00__rupture_0__weak_0.25__floor_theoretical__recipient_prediction_tilted,1.0,False,0.25,theoretical,prediction_tilted,pres_2022,1.7158567129462816,51,1.1531126053275242
strong_1.00__rupture_0__weak_0.25__floor_none__recipient_affinity_only,1.0,False,0.25,none,affinity_only,pres_2002,2.8726753054003464,48,2.6660934578369764
strong_1.00__rupture_0__weak_0.25__floor_none__recipient_affinity_only,1.0,False,0.25,none,affinity_only,pres_2007,4.040512064904603,48,1.1211846070051759
strong_1.00__rupture_0__weak_0.25__floor_none__recipient_affinity_only,1.0,False,0.25,none,affinity_only,pres_2012,2.559193926025741,34,1.0323421899684133
strong_1.00__rupture_0__weak_0.25__floor_none__recipient_affinity_only,1.0,False,0.25,none,affinity_only,pres_2017,4.250059645429084,51,2.6490648110822006
strong_1.00__rupture_0__weak_0.25__floor_none__recipient_affinity_only,1.0,False,0.25,none,affinity_only,pres_2022,1.5819172727729531,51,0.9864459386608537
strong_1.00__rupture_0__weak_0.25__floor_none__recipient_prediction_tilted,1.0,False,0.25,none,prediction_tilted,pres_2002,3.152017602476895,48,2.9880013020673224
strong_1.00__rupture_0__weak_0.25__floor_none__recipient_prediction_tilted,1.0,False,0.25,none,prediction_tilted,pres_2007,4.040512064904603,48,1.1211846070051759
strong_1.00__rupture_0__weak_0.25__floor_none__recipient_prediction_tilted,1.0,False,0.25,none,prediction_tilted,pres_2012,2.559193926025741,34,1.0323421899684133
strong_1.00__rupture_0__weak_0.25__floor_none__recipient_prediction_tilted,1.0,False,0.25,none,prediction_tilted,pres_2017,4.250059645429084,51,2.6490648110822006
strong_1.00__rupture_0__weak_0.25__floor_none__recipient_prediction_tilted,1.0,False,0.25,none,prediction_tilted,pres_2022,1.605527303376513,51,0.9864459386608556
strong_1.00__rupture_0__weak_0.50__floor_candidate_ballot__recipient_affinity_only,1.0,False,0.5,candidate_ballot,affinity_only,pres_2002,2.6008051357459214,48,2.2741772406048644
strong_1.00__rupture_0__weak_0.50__floor_candidate_ballot__recipient_affinity_only,1.0,False,0.5,candidate_ballot,affinity_only,pres_2007,4.040512064904603,48,1.1211846070051759
strong_1.00__rupture_0__weak_0.50__floor_candidate_ballot__recipient_affinity_only,1.0,False,0.5,candidate_ballot,affinity_only,pres_2012,2.559193926025741,34,1.0323421899684133
strong_1.00__rupture_0__weak_0.50__floor_candidate_ballot__recipient_affinity_only,1.0,False,0.5,candidate_ballot,affinity_only,pres_2017,4.250059645429084,51,2.6490648110822006
strong_1.00__rupture_0__weak_0.50__floor_candidate_ballot__recipient_affinity_only,1.0,False,0.5,candidate_ballot,affinity_only,pres_2022,2.0126061567051616,51,1.4886898679955003
strong_1.00__rupture_0__weak_0.50__floor_candidate_ballot__recipient_prediction_tilted,1.0,False,0.5,candidate_ballot,prediction_tilted,pres_2002,2.9384700768345446,48,2.6581727830224344
