variant,strong_incumbent_veto_gain,rupture_floor_erosion_enabled,weak_same_lane_gain,weak_floor_mode,recipient_weight_mode,election_id,regional_weighted_mae_pp,rows,national_candidate_mae_pp
strong_0.50__rupture_1__weak_0.50__floor_theoretical__recipient_prediction_tilted,0.5,True,0.5,theoretical,prediction_tilted,pres_2007,4.216700991332366,48,1.5385991998754391
strong_0.50__rupture_1__weak_0.50__floor_theoretical__recipient_prediction_tilted,0.5,True,0.5,theoretical,prediction_tilted,pres_2012,2.559193926025741,34,1.0323421899684133
strong_0.50__rupture_1__weak_0.50__floor_theoretical__recipient_prediction_tilted,0.5,True,0.5,theoretical,prediction_tilted,pres_2017,3.7767368589651094,51,1.7105832639493557
strong_0.50__rupture_1__weak_0.50__floor_theoretical__recipient_prediction_tilted,0.5,True,0.5,theoretical,prediction_tilted,pres_2022,1.2522676024192632,51,0.45559587923686234
strong_0.50__rupture_1__weak_0.50__floor_none__recipient_affinity_only,0.5,True,0.5,none,affinity_only,pres_2002,2.050353394182089,48,1.3481735829699764
strong_0.50__rupture_1__weak_0.50__floor_none__recipient_affinity_only,0.5,True,0.5,none,affinity_only,pres_2007,4.216700991332366,48,1.5385991998754391
strong_0.50__rupture_1__weak_0.50__floor_none__recipient_affinity_only,0.5,True,0.5,none,affinity_only,pres_2012,2.559193926025741,34,1.0323421899684133
strong_0.50__rupture_1__weak_0.50__floor_none__recipient_affinity_only,0.5,True,0.5,none,affinity_only,pres_2017,3.7767368589651094,51,1.7105832639493557
strong_0.50__rupture_1__weak_0.50__floor_none__recipient_affinity_only,0.5,True,0.5,none,affinity_only,pres_2022,1.1636361929967995,51,0.5008334972804823
strong_0.50__rupture_1__weak_0.50__floor_none__recipient_prediction_tilted,0.5,True,0.5,none,prediction_tilted,pres_2002,2.644093260669356,48,1.9919892714306657
strong_0.50__rupture_1__weak_0.50__floor_none__recipient_prediction_tilted,0.5,True,0.5,none,prediction_tilted,pres_2007,4.216700991332366,48,1.5385991998754391
strong_0.50__rupture_1__weak_0.50__floor_none__recipient_prediction_tilted,0.5,True,0.5,none,prediction_tilted,pres_2012,2.559193926025741,34,1.0323421899684133
strong_0.50__rupture_1__weak_0.50__floor_none__recipient_prediction_tilted,0.5,True,0.5,none,prediction_tilted,pres_2017,3.7767368589651094,51,1.7105832639493557
strong_0.50__rupture_1__weak_0.50__floor_none__recipient_prediction_tilted,0.5,True,0.5,none,prediction_tilted,pres_2022,1.1477265920751312,51,0.13638324375313746
strong_1.00__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,1.0,False,0.25,candidate_ballot,affinity_only,pres_2002,3.2736463452862328,48,3.12909528665442
