election_id,region_id,candidate_name,before,ceiling,excess_redistributed
pres_2002,sido_11,권영길,0.1286446753545291,0.0606258521078621,0.06801882324666698
pres_2002,sido_26,권영길,0.1438454404396464,0.1066515387888241,0.0371939016508223
pres_2002,sido_27,권영길,0.1285491192433082,0.0517226551782035,0.0768264640651047
pres_2002,sido_28,권영길,0.1387637851126683,0.0628007914541385,0.07596299365852979
pres_2002,sido_30,권영길,0.1733041580507999,0.0754167269552507,0.0978874310955492
pres_2002,sido_41,권영길,0.1365750367915075,0.0582204292272907,0.0783546075642168
pres_2002,sido_42,권영길,0.1544933637697989,0.0864477669194098,0.06804559685038912
pres_2002,sido_43,권영길,0.161819867797622,0.0733073690080161,0.0885124987896059
pres_2002,sido_44,권영길,0.1739413625402294,0.0454043056427732,0.1285370568974562
pres_2002,sido_45,권영길,0.133331504371572,0.1276552625263326,0.005676241845239405
pres_2002,sido_47,권영길,0.1343410091938503,0.04496114370304,0.08937986549081031
pres_2002,sido_48,권영길,0.1453738026884588,0.0895669194284756,0.05580688325998319
