election_id,candidate_id,unique_sentence_count,meeting_date_count,source_file_count,first_evidence_date,last_evidence_date,source_sha256,source_type,notes
pres_2012,park_geun_hye,265,45,23,2012-07-02,2012-11-14,ce44442c252b40b506ae552dbf719922a5db055eafac5e9d36b0a6ed4c3d1415,assembly_full_transcript_target_mentions,Distinct target sentences through 2012-11-22 in the completed 15th-22nd Assembly extraction; no vote outcome used
pres_2012,moon_jae_in,186,24,17,2012-07-25,2012-11-22,ce44442c252b40b506ae552dbf719922a5db055eafac5e9d36b0a6ed4c3d1415,assembly_full_transcript_target_mentions,Distinct target sentences through 2012-11-22 in the completed 15th-22nd Assembly extraction; no vote outcome used
pres_2012,ahn_cheol_soo,148,24,21,2012-07-31,2012-11-22,ce44442c252b40b506ae552dbf719922a5db055eafac5e9d36b0a6ed4c3d1415,assembly_full_transcript_target_mentions,Distinct target sentences through 2012-11-22 in the completed 15th-22nd Assembly extraction; no vote outcome used
