election_id,election_date,region_id,region_name,district_name,party_name,bloc,candidate_name,candidate_votes,district_valid_votes,candidate_vote_share,candidate_won,available_date,source_type,derivation_version
assembly_1992_district,1992-03-24,sido_11,서울특별시,관악구갑,무소속,무소속,이상현,38743.0,131847.0,0.29384817250297696,False,1992-03-25,nec_assembly_constituency_count,nec_assembly_district_history_v1
assembly_1992_district,1992-03-24,sido_11,서울특별시,관악구갑,민주자유당,국민의힘,김우연,34445.0,131847.0,0.2612497819442232,False,1992-03-25,nec_assembly_constituency_count,nec_assembly_district_history_v1
assembly_1992_district,1992-03-24,sido_11,서울특별시,관악구갑,무소속,무소속,정성일,2598.0,131847.0,0.019704657671391842,False,1992-03-25,nec_assembly_constituency_count,nec_assembly_district_history_v1
assembly_1992_district,1992-03-24,sido_11,서울특별시,관악구을,민주당,더불어민주당,이해찬,64035.0,143283.0,0.4469127530830594,True,1992-03-25,nec_assembly_constituency_count,nec_assembly_district_history_v1
assembly_1992_district,1992-03-24,sido_11,서울특별시,관악구을,민주자유당,국민의힘,김수한,44413.0,143283.0,0.3099669884075571,False,1992-03-25,nec_assembly_constituency_count,nec_assembly_district_history_v1
assembly_1992_district,1992-03-24,sido_11,서울특별시,관악구을,통일국민당,제3지대,권태오,22359.0,143283.0,0.15604782144427462,False,1992-03-25,nec_assembly_constituency_count,nec_assembly_district_history_v1
assembly_1992_district,1992-03-24,sido_11,서울특별시,관악구을,무소속,무소속,이길범,5115.0,143283.0,0.03569858252549151,False,1992-03-25,nec_assembly_constituency_count,nec_assembly_district_history_v1
assembly_1992_district,1992-03-24,sido_11,서울특별시,관악구을,민중당,진보정당계,류민용,3690.0,143283.0,0.025753229622495342,False,1992-03-25,nec_assembly_constituency_count,nec_assembly_district_history_v1
assembly_1992_district,1992-03-24,sido_11,서울특별시,관악구을,신정당,신정당,이상열,1959.0,143283.0,0.013672243043487364,False,1992-03-25,nec_assembly_constituency_count,nec_assembly_district_history_v1
assembly_1992_district,1992-03-24,sido_11,서울특별시,관악구을,무소속,무소속,박장식,1712.0,143283.0,0.011948381873634695,False,1992-03-25,nec_assembly_constituency_count,nec_assembly_district_history_v1
