election_id,region_id,donor_slot,recipient_slots,candidate_ballot_recent_base,floor_mode,recipient_weight_mode,protected_floor,before,reservoir,gain,transfer,after,declared_origin_lane,resolved_origin_lane
pres_2025,sido_11,C,A|B,0.0895016509244357,theoretical,prediction_tilted,0.01,0.10764237087385099,0.097642370873851,0.16666666666666663,0.016273728478975163,0.09136864239487583,conservative_centrist,conservative_centrist
pres_2025,sido_26,C,A|B,0.07299837894668176,theoretical,prediction_tilted,0.01,0.07521734287239928,0.06521734287239929,0.16666666666666663,0.01086955714539988,0.06434778572699941,conservative_centrist,conservative_centrist
pres_2025,sido_27,C,A|B,0.07837358386000785,theoretical,prediction_tilted,0.01,0.08547835065732173,0.07547835065732174,0.16666666666666663,0.01257972510955362,0.07289862554776812,conservative_centrist,conservative_centrist
pres_2025,sido_28,C,A|B,0.1152049319759918,theoretical,prediction_tilted,0.01,0.09266181744121978,0.08266181744121978,0.16666666666666663,0.013776969573536628,0.07888484786768316,conservative_centrist,conservative_centrist
pres_2025,sido_29,C,A|B,0.15308722399565391,theoretical,prediction_tilted,0.01,0.1424503815754437,0.1324503815754437,0.16666666666666663,0.022075063595907277,0.12037531797953643,conservative_centrist,conservative_centrist
pres_2025,sido_30,C,A|B,0.21166262390808982,theoretical,prediction_tilted,0.01,0.17984687719738218,0.16984687719738217,0.16666666666666663,0.028307812866230356,0.15153906433115183,conservative_centrist,conservative_centrist
pres_2025,sido_31,C,A|B,0.06959987325014474,theoretical,prediction_tilted,0.01,0.07447729398357021,0.06447729398357022,0.16666666666666663,0.010746215663928367,0.06373107831964184,conservative_centrist,conservative_centrist
pres_2025,sido_36,C,A|B,0.19926897829917944,theoretical,prediction_tilted,0.01,0.14787606906793904,0.13787606906793903,0.16666666666666663,0.0229793448446565,0.12489672422328255,conservative_centrist,conservative_centrist
pres_2025,sido_41,C,A|B,0.10933371798382359,theoretical,prediction_tilted,0.01,0.09957509104580244,0.08957509104580244,0.16666666666666663,0.01492918184096707,0.08464590920483536,conservative_centrist,conservative_centrist
pres_2025,sido_42,C,A|B,0.10674307208851068,theoretical,prediction_tilted,0.01,0.07176196232618366,0.06176196232618366,0.16666666666666663,0.010293660387697275,0.06146830193848639,conservative_centrist,conservative_centrist
pres_2025,sido_43,C,A|B,0.12481708056280445,theoretical,prediction_tilted,0.01,0.09747049202024591,0.08747049202024591,0.16666666666666663,0.014578415336707649,0.08289207668353826,conservative_centrist,conservative_centrist
pres_2025,sido_44,C,A|B,0.19427338351107365,theoretical,prediction_tilted,0.01,0.1677707451557085,0.1577707451557085,0.16666666666666663,0.026295124192618077,0.1414756209630904,conservative_centrist,conservative_centrist
pres_2025,sido_45,C,A|B,0.1353111438143049,theoretical,prediction_tilted,0.01,0.12132306425724061,0.11132306425724062,0.16666666666666663,0.01855384404287343,0.10276922021436719,conservative_centrist,conservative_centrist
pres_2025,sido_46,C,A|B,0.15760933017999373,theoretical,prediction_tilted,0.01,0.13259175552493732,0.12259175552493733,0.16666666666666663,0.020431959254156216,0.1121597962707811,conservative_centrist,conservative_centrist
pres_2025,sido_47,C,A|B,0.07997646255245618,theoretical,prediction_tilted,0.01,0.07274557907573628,0.06274557907573629,0.16666666666666663,0.010457596512622713,0.06228798256311357,conservative_centrist,conservative_centrist
pres_2025,sido_48,C,A|B,0.06670888162598002,theoretical,prediction_tilted,0.01,0.06733307064881788,0.05733307064881788,0.16666666666666663,0.009555511774802978,0.05777755887401491,conservative_centrist,conservative_centrist
pres_2025,sido_50,C,A|B,0.10989577591907101,theoretical,prediction_tilted,0.01,0.08486015505802195,0.07486015505802196,0.16666666666666663,0.012476692509670324,0.07238346254835162,conservative_centrist,conservative_centrist
