election_id,region_id,beneficiary_slot,burdened_slot,projected_margin,government_rejection_strength,dominance_activation,regime_certainty,veto_rate,base_runner_core_floor,rupture_floor_activation,theoretical_floor,effective_runner_floor,runner_flexible_mass,transfer
pres_2025,sido_11,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.3091663561633438,0.894435410009439,0.01,0.03263701962725913,0.29466251941453225,0.04633616905861403
pres_2025,sido_26,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.42052335785375133,0.894435410009439,0.01,0.0443923758532852,0.40198556482116393,0.06321289564646705
pres_2025,sido_27,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.5256873914073034,0.894435410009439,0.01,0.055493973937119516,0.5370984999918468,0.08445962841218696
pres_2025,sido_28,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.3048357786736923,0.894435410009439,0.01,0.032179863990141715,0.29104806996704785,0.045767790898455694
pres_2025,sido_29,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.018602883371286284,0.894435410009439,0.01,0.01,0.013655736336740684,0.002147387149123346
pres_2025,sido_30,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.2784933043837148,0.894435410009439,0.01,0.02939903149238334,0.26860972921837395,0.04223932466396091
pres_2025,sido_31,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.3924743913213997,0.894435410009439,0.01,0.041431398201638533,0.3767920063280152,0.05925116685976529
pres_2025,sido_36,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.19262964295605992,0.894435410009439,0.01,0.020334869278684612,0.22337703947764337,0.03512640930924694
pres_2025,sido_41,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.2963363452914383,0.894435410009439,0.01,0.031282624789991983,0.282483341551669,0.04442097317428559
pres_2025,sido_42,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.39549924035482537,0.894435410009439,0.01,0.04175071514963546,0.37966431356991237,0.05970284192931017
pres_2025,sido_43,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.34432011154107717,0.894435410009439,0.01,0.036348011400338026,0.32886367185759546,0.051714356908056036
pres_2025,sido_44,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.31125457336590057,0.894435410009439,0.01,0.032857461420058263,0.2989901878744618,0.04701670208937531
pres_2025,sido_45,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.05164541117449587,0.894435410009439,0.01,0.01,0.04654063788772727,0.007318592366434211
pres_2025,sido_46,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.030289335184626603,0.894435410009439,0.01,0.01,0.022698898170932645,0.0035694393205569254
pres_2025,sido_47,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.5435326360614217,0.894435410009439,0.01,0.057377799872312764,0.5575639880297223,0.08767786029140326
pres_2025,sido_48,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.44053619639527897,0.894435410009439,0.01,0.04650502294846886,0.4185448030415564,0.065816863274201
pres_2025,sido_50,A,B,0.10782538813625125,0.15725165572696453,1.0,1.0,0.15725165572696453,0.2560593108735723,0.894435410009439,0.01,0.027030796165634245,0.2523631100322861,0.03968451689698313
