election_id,region_id,candidate_name,before,ceiling,excess_redistributed
pres_2025,sido_11,,0.2151371589663946,0.10764237087385099,0.1074947880925436
pres_2025,sido_26,,0.16216942190687342,0.07521734287239928,0.08695207903447413
pres_2025,sido_27,,0.15399702719510344,0.08547835065732173,0.06851867653778171
pres_2025,sido_28,,0.20203967530721634,0.09266181744121978,0.10937785786599656
pres_2025,sido_29,,0.23907182623148504,0.14245038157544374,0.0966214446560413
pres_2025,sido_30,,0.2596481191721718,0.17984687719738218,0.0798012419747896
pres_2025,sido_31,,0.18828715412596608,0.07447729398357021,0.11380986014239587
pres_2025,sido_36,,0.24265576680918452,0.14787606906793904,0.09477969774124548
pres_2025,sido_41,,0.20606111254631918,0.09957509104580242,0.10648602150051675
pres_2025,sido_42,,0.17044329576188375,0.07176196232618366,0.09868133343570008
pres_2025,sido_43,,0.2001932688407385,0.09747049202024591,0.10272277682049258
pres_2025,sido_44,,0.2557765105016591,0.1677707451557085,0.08800576534595062
pres_2025,sido_45,,0.21093876270300146,0.12132306425724061,0.08961569844576085
pres_2025,sido_46,,0.22524661947325952,0.13259175552493732,0.0926548639483222
pres_2025,sido_47,,0.14489009771473008,0.07274557907573628,0.0721445186389938
pres_2025,sido_48,,0.1542867260583437,0.06733307064881787,0.08695365540952583
pres_2025,sido_50,,0.19541437635817793,0.08486015505802197,0.11055422130015596
