election_id,assembly_daesu,period,issue_name,sentence_count,weighted_mentions,first_observed_date,last_observed_date,available_date,source
pres_2025,21,2022-04-04,inflation_livelihood,5,1.75,2022-04-04,2022-04-05,2022-04-05,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,jobs_labor,12,5.499999999999999,2022-04-05,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,regime_change,8,3.20075,2022-04-04,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,regional_dev,77,29.850000000000048,2022-04-04,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,security_nk,3,1.0499999999999998,2022-04-04,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,unification_event,7,2.45,2022-04-07,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,welfare_pension,77,39.60000000000006,2022-04-04,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,candidate_competence,20,12.449999999999998,2022-04-13,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,corruption_integrity,271,150.86299999999963,2022-04-14,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,economy_growth,29,14.874999999999996,2022-04-13,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,education,8,2.8000000000000003,2022-04-14,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,endorsement_event,20,6.999999999999997,2022-04-13,2022-04-14,2022-04-14,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,external_shock,9,3.2200000000000006,2022-04-13,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,family_legal_risk,8,2.8000000000000003,2022-04-14,2022-04-14,2022-04-14,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,foreign_policy,50,18.299999999999994,2022-04-13,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,gender_generation,34,11.899999999999993,2022-04-13,2022-04-13,2022-04-13,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,housing,1,0.4025,2022-04-15,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,jobs_labor,2,0.7,2022-04-13,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,regime_change,54,25.415375000000004,2022-04-13,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,regional_dev,88,55.42500000000003,2022-04-13,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,security_nk,60,21.650000000000013,2022-04-13,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,unification_event,5,1.75,2022-04-14,2022-04-14,2022-04-14,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,withdrawal_event,1,0.35,2022-04-14,2022-04-14,2022-04-14,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,candidate_competence,36,21.550000000000004,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,corruption_integrity,26,12.402499999999996,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,economy_growth,88,53.52500000000004,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,education,10,3.5000000000000004,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,endorsement_event,4,1.4,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
