election_id,assembly_daesu,period,issue_name,target_type,target_name,target_model_eligible,stance_label,sentence_count,weighted_mentions,signed_weight,absolute_directional_weight,directional_balance,first_observed_date,last_observed_date,available_date,source
pres_2025,21,2022-03-28,foreign_policy,person,문재인,False,neutral,8,5.8,0.0,0.0,0.0,2022-03-28,2022-03-28,2022-03-28,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,foreign_policy,person,윤석열,False,neutral,2,1.1,0.0,0.0,0.0,2022-03-28,2022-03-28,2022-03-28,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,inflation_livelihood,government,청와대,False,neutral,1,0.35,0.0,0.0,0.0,2022-03-29,2022-03-29,2022-03-29,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,jobs_labor,person,문재인,False,neutral,1,1.0,0.0,0.0,0.0,2022-03-29,2022-03-29,2022-03-29,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,regime_change,government,정부,False,neutral,14,4.400250000000001,0.0,0.0,0.0,2022-03-28,2022-03-31,2022-03-31,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,regime_change,person,문재인,False,neutral,4,1.5995000000000001,0.0,0.0,0.0,2022-03-28,2022-03-28,2022-03-28,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,regional_dev,government,정부,False,neutral,2,0.7,0.0,0.0,0.0,2022-03-29,2022-03-29,2022-03-29,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,security_nk,government,정부,False,neutral,22,14.374999999999996,0.0,0.0,0.0,2022-03-28,2022-03-28,2022-03-28,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,security_nk,government,청와대,False,neutral,3,1.0499999999999998,0.0,0.0,0.0,2022-03-28,2022-03-28,2022-03-28,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,security_nk,party,국민의힘,False,neutral,1,0.35,0.0,0.0,0.0,2022-03-28,2022-03-28,2022-03-28,assembly_stance_full_corpus_v1
