daesu,name,party,bloc,district,mandate_label,source_member_code,available_date,source_url,source_type
22,이병진,더불어민주당,더불어민주당,경기 평택시을,지역구,HFV52269,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,이성권,국민의힘,국민의힘,부산 사하구갑,지역구,WXJ8352N,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,이소영,더불어민주당,더불어민주당,경기 의왕시과천시,지역구,WTR5885Y,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,이수진,더불어민주당,더불어민주당,경기 성남시중원구,지역구,0R68099X,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,이연희,더불어민주당,더불어민주당,충북 청주시흥덕구,지역구,EBH1101V,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,이용선,더불어민주당,더불어민주당,서울 양천구을,지역구,9JF4562W,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,이재강,더불어민주당,더불어민주당,경기 의정부시을,지역구,3LP22204,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,이재정,더불어민주당,더불어민주당,경기 안양시동안구을,지역구,UQ282145,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,이정헌,더불어민주당,더불어민주당,서울 광진구갑,지역구,5762459L,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,이주영,개혁신당,개혁신당,비례대표,비례대표,WI719547,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,이춘석,더불어민주당,더불어민주당,전북 익산시갑,지역구,V2R7430Z,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,인요한,국민의미래,국민의미래,비례대표,비례대표,B7789327,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,장경태,더불어민주당,더불어민주당,서울 동대문구을,지역구,RPN2293B,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,장철민,더불어민주당,더불어민주당,대전 동구,지역구,2NV6751W,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,전진숙,더불어민주당,더불어민주당,광주 북구을,지역구,QUR40502,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,정점식,국민의힘,국민의힘,경남 통영시고성군,지역구,LJK4960Z,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,정준호,더불어민주당,더불어민주당,광주 북구갑,지역구,IC499858,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,정청래,더불어민주당,더불어민주당,서울 마포구을,지역구,2385336L,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,조배숙,국민의미래,국민의미래,비례대표,비례대표,IWK63872,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,조인철,더불어민주당,더불어민주당,광주 서구갑,지역구,ZKB18611,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,조정식,더불어민주당,더불어민주당,경기 시흥시을,지역구,IN328264,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,차지호,더불어민주당,더불어민주당,경기 오산시,지역구,RC885085,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,최형두,국민의힘,국민의힘,경남 창원시마산합포구,지역구,A0P4646G,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,한정애,더불어민주당,더불어민주당,서울 강서구병,지역구,XPP2564T,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,한준호,더불어민주당,더불어민주당,경기 고양시을,지역구,BCQ55105,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,한지아,국민의미래,국민의미래,비례대표,비례대표,Q918403D,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,홍기원,더불어민주당,더불어민주당,경기 평택시갑,지역구,5MD4184K,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
22,황정아,더불어민주당,더불어민주당,대전 유성구을,지역구,T6A6557F,2024-04-11,https://open.assembly.go.kr/portal/openapi/ALLNAMEMBER,official_assembly_member_term_registry
