variant,layer,election_id,region_id,donor_slot,recipient_slots,candidate_ballot_recent_base,floor_mode,recipient_weight_mode,protected_floor,before,reservoir,gain,transfer,after,beneficiary_slot,burdened_slot,projected_margin,government_rejection_strength,dominance_activation,regime_certainty,veto_rate,base_runner_core_floor,rupture_floor_activation,theoretical_floor,effective_runner_floor,runner_flexible_mass
strong_0.00__weak_0.10,weak_same_lane_refusal,pres_2022,sido_42,C,B,0.0308172356117518,candidate_ballot,affinity_only,0.0308172356117518,0.0467143452487786,0.0158971096370268,0.1,0.00158971096370268,0.04512463428507592,,,,,,,,,,,,
strong_0.00__weak_0.10,weak_same_lane_refusal,pres_2022,sido_43,C,B,0.0345580698080987,candidate_ballot,affinity_only,0.0345580698080987,0.0473340120894684,0.012775942281369697,0.1,0.0012775942281369698,0.04605641786133143,,,,,,,,,,,,
strong_0.00__weak_0.10,weak_same_lane_refusal,pres_2022,sido_44,C,B,0.0309340683403439,candidate_ballot,affinity_only,0.0309340683403439,0.0470230898709314,0.0160890215305875,0.1,0.00160890215305875,0.04541418771787265,,,,,,,,,,,,
strong_0.00__weak_0.10,weak_same_lane_refusal,pres_2022,sido_45,C,B,0.0459485902537228,candidate_ballot,affinity_only,0.0459485902537228,0.072396137958621,0.026447547704898204,0.1,0.0026447547704898204,0.06975138318813118,,,,,,,,,,,,
strong_0.00__weak_0.10,weak_same_lane_refusal,pres_2022,sido_46,C,B,0.0592373366011094,candidate_ballot,affinity_only,0.0592373366011094,0.0717368476043744,0.012499511003265004,0.1,0.0012499511003265006,0.07048689650404791,,,,,,,,,,,,
strong_0.00__weak_0.10,weak_same_lane_refusal,pres_2022,sido_47,C,B,0.0343795636905044,candidate_ballot,affinity_only,0.0343795636905044,0.035418246775361595,0.0010386830848571962,0.1,0.00010386830848571962,0.03531437846687588,,,,,,,,,,,,
strong_0.00__weak_0.10,weak_same_lane_refusal,pres_2022,sido_50,C,B,0.0503767176193264,candidate_ballot,affinity_only,0.0503767176193264,0.0736760597070336,0.023299342087707203,0.1,0.0023299342087707204,0.07134612549826289,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_11,C,A,0.0172553182802303,candidate_ballot,affinity_only,0.0172553182802303,0.060625852107862005,0.0433705338276317,0.25,0.010842633456907926,0.04978321865095408,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_26,C,A,0.039818482004606,candidate_ballot,affinity_only,0.039818482004606,0.106651538788824,0.066833056784218,0.25,0.0167082641960545,0.08994327459276949,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_27,C,A,0.0058164519761945,candidate_ballot,affinity_only,0.0058164519761945,0.0517226551782034,0.0459062032020089,0.25,0.011476550800502226,0.04024610437770118,,,,,,,,,,,,
