election_id,candidate_name,prediction_logit_sd,prior_logit_sd,core_voting_mass,direct_party_reliability,missing_dispersion_ratio,dispersion_factor,gain
pres_2002,권영길,0.35962389752442214,1.4275031046280044,0.0,0.3297770282217315,2.969433384306899,1.0,1.0
pres_2002,노무현,1.0000424933676813,1.096671677117961,0.3013960188951624,0.3297770282217315,0.09662507782532037,1.0096039030716673,1.0
pres_2002,이회창,1.225404473161501,0.9938045153856331,0.41908563180133324,0.3297770282217315,0.0,1.0,1.0
pres_2007,이명박,0.7117269988264635,1.0764857497163334,0.41031014782254666,0.6502245999310642,0.512498122863549,1.136731296945954,1.0
pres_2007,이회창,0.29242040486315424,0.0,0.0,0.0,0.0,1.0,1.0
pres_2007,정동영,0.8518436495335848,0.834219001489732,0.3212171563373632,0.6521733756076458,0.0,1.0,1.0
pres_2012,문재인,0.9566315532372341,0.726795025540355,0.3166365011556167,0.7571736064357607,0.0,1.0,1.0
pres_2012,박근혜,0.9566315532372346,0.9407128744869386,0.41635779730665096,0.7563895305771635,0.0,1.0,1.0
pres_2017,문재인,0.29683899213775516,0.5897360095240026,0.3109730538557378,0.8284336615595898,0.9867201585508742,1.2541993856517795,1.0
pres_2017,안철수,0.17939464280586362,0.3939978210618069,0.0,0.6919060045840205,1.196263026026822,1.0,1.0
pres_2017,홍준표,0.6543715120699946,0.8471556835736882,0.4232002945253669,0.8280231702263858,0.29460966430805224,1.1032370153101572,1.0
pres_2022,심상정,0.1921186874569974,0.27140762990319106,0.0,0.8517989291246912,0.4127081206711929,1.0,1.0
pres_2022,윤석열,0.7110386606859772,0.8455451877225847,0.36500680141673264,0.8544750342719789,0.1891690768359091,1.0589997918783094,1.0
pres_2022,이재명,0.6669113819872675,0.510174117569204,0.3523415185899147,0.855586578085943,0.0,1.0,1.0
