within_bloc_transfer_scale,within_bloc_stronghold_gain,selection_sample_rolling_row_mae_pp,pres_2002_row_mae_pp,pres_2007_row_mae_pp,pres_2012_row_mae_pp,pres_2017_row_mae_pp,pres_2022_row_mae_pp
0.0,0.0,4.011471735592139,4.041493477142137,5.456768678197079,4.052681848133915,3.8488765171413775,2.1454794808842426
0.2,0.0,3.857605340821794,4.050069322095524,4.813147019909427,4.052681848133915,3.8488765171413775,2.1454794808842426
0.2,0.1,3.85409531961751,4.0504381738994,4.798349155797418,4.052681848133915,3.8488765171413775,2.1454794808842426
0.2,0.15,3.8523403144050787,4.0506226333186,4.790950223741413,4.052681848133915,3.8488765171413775,2.1454794808842426
0.2,0.2,3.8505853127865386,4.050807115087311,4.783551291685409,4.052681848133915,3.8488765171413775,2.1454794808842426
0.2,0.25,3.848830314762453,4.050991619209035,4.776152359629404,4.052681848133915,3.8488765171413775,2.1454794808842426
0.2,0.35,3.845320329499897,4.05136069452553,4.761354495517395,4.052681848133915,3.8488765171413775,2.1454794808842426
0.2,0.5,3.840055378578556,4.05191447523546,4.739157699349381,4.052681848133915,3.8488765171413775,2.1454794808842426
0.35,0.0,3.7842436760801914,4.056488192018907,4.50472253821928,4.052681848133915,3.8488765171413775,2.1454794808842426
0.35,0.1,3.77899348550144,4.057133763609321,4.482525742051266,4.052681848133915,3.8488765171413775,2.1454794808842426
0.35,0.15,3.7763684067272356,4.057456652108246,4.471427343967259,4.052681848133915,3.8488765171413775,2.1454794808842426
0.35,0.2,3.7737433389671713,4.057779609101354,4.460328945883252,4.052681848133915,3.8488765171413775,2.1454794808842426
0.35,0.25,3.7711182822242684,4.058102634607435,4.449230547799245,4.052681848133915,3.8488765171413775,2.1454794808842426
0.35,0.35,3.7659270607131483,4.0587488912337015,4.427277770866883,4.052681848133915,3.8488765171413775,2.1454794808842426
0.35,0.5,3.7593905230555427,4.059718790490494,4.3995317756568655,4.052681848133915,3.8488765171413775,2.1454794808842426
0.5,0.0,3.718049744185769,4.0628959348947005,4.226021700323127,4.052681848133915,3.8488765171413775,2.1454794808842426
0.5,0.1,3.71134509559523,4.063818296390104,4.197610437044581,4.052681848133915,3.8488765171413775,2.1454794808842426
0.5,0.15,3.7104823677818306,4.064279686853827,4.1937261176757135,4.052681848133915,3.8488765171413775,2.1454794808842426
0.5,0.2,3.7101316629960097,4.06474121720129,4.191964467186189,4.052681848133915,3.8488765171413775,2.1454794808842426
0.5,0.25,3.7097809807128734,4.065202887487326,4.190202816696663,4.052681848133915,3.8488765171413775,2.1454794808842426
0.5,0.35,3.7130272561261024,4.066126648094579,4.203045493109172,4.052681848133915,3.8488765171413775,2.1454794808842426
0.5,0.5,3.7202614336438287,4.067513339917195,4.232112726186332,4.052681848133915,3.8488765171413775,2.1454794808842426
