variant,election_id,regional_weighted_mae_pp,rows,national_candidate_mae_pp
strict_base,pres_2002,3.5071207618246243,32,2.3341559232571614
strict_base,pres_2007,10.254982930921114,48,8.716803825087853
strict_base,pres_2012,2.921517756970565,34,2.061852049703247
strict_base,pres_2017,8.134356600990388,51,7.5273107852207515
strict_base,pres_2022,1.591744127294816,34,0.5233907976253616
structural,pres_2002,3.98164116001174,32,3.322039828338108
structural,pres_2007,7.702628746844982,48,6.248845763093204
structural,pres_2012,2.648812585439085,34,0.12973230324981322
structural,pres_2017,8.720048238707621,51,8.587797575430818
structural,pres_2022,1.3659500055467266,34,0.17286679061480625
structural_mega,pres_2002,3.98164116001174,32,3.322039828338108
structural_mega,pres_2007,7.702628746844982,48,6.248845763093204
structural_mega,pres_2012,2.648812585439086,34,0.12973230324981322
structural_mega,pres_2017,7.390597545165778,51,7.059581814226945
structural_mega,pres_2022,1.3659500055467266,34,0.17286679061480625
structural_mega_shock,pres_2002,3.98164116001174,32,3.322039828338108
structural_mega_shock,pres_2007,7.50884197873415,48,6.000338361820176
structural_mega_shock,pres_2012,2.648812585439086,34,0.12973230324981322
structural_mega_shock,pres_2017,6.180813288720397,51,5.561669631367649
structural_mega_shock,pres_2022,1.3659500055467266,34,0.17286679061480625
structural_mega_shock_regime,pres_2002,3.98164116001174,32,3.322039828338108
structural_mega_shock_regime,pres_2007,4.48259311003254,48,1.563431130641933
structural_mega_shock_regime,pres_2012,2.781167300122623,34,0.2513881504079246
structural_mega_shock_regime,pres_2017,4.063129059506461,51,2.6347798970670198
structural_mega_shock_regime,pres_2022,1.3659500055467266,34,0.17286679061480625
