election_id,region_id,dominant_slot,runner_up_slot,rejection_rate,runner_core_floor,runner_flexible_mass,transfer
pres_2007,sido_11,A,B,0.03879995203525887,0.21920616871945767,0.0959050438592138,0.003721111101676894
pres_2007,sido_26,A,B,0.03879995203525887,0.12629374081351058,0.07240535183069122,0.0028093241781268624
pres_2007,sido_27,A,B,0.03879995203525887,0.06756105262116711,0.04924802405219676,0.0019108209710565096
pres_2007,sido_28,A,B,0.03879995203525887,0.18829649635747572,0.12145046804009343,0.004712272334615366
pres_2007,sido_29,A,B,0.03879995203525887,0.4956040990413163,0.2544445026770633,0.009872434499505353
pres_2007,sido_30,A,B,0.03879995203525887,0.1749885957265136,0.14818194083942204,0.005749452197061143
pres_2007,sido_31,A,B,0.03879995203525887,0.09222167163681577,0.09235685202979416,0.0035834414288835144
pres_2007,sido_41,A,B,0.03879995203525887,0.19697816370481863,0.1200343912191481,0.0046573286218844455
pres_2007,sido_42,A,B,0.03879995203525887,0.16209645385893912,0.09869213074569105,0.00382924993919031
pres_2007,sido_43,A,B,0.03879995203525887,0.1871115693451475,0.12303072116828423,0.004773586080192736
pres_2007,sido_44,A,B,0.03879995203525887,0.13394141164498347,0.16902336295825932,0.006558098375618613
pres_2007,sido_45,A,B,0.03879995203525887,0.4968699578211772,0.2591646024824777,0.010055574145557066
pres_2007,sido_46,A,B,0.03879995203525887,0.5007429682165444,0.250571422905948,0.00972215919015735
pres_2007,sido_47,A,B,0.03879995203525887,0.08398547422562393,0.047603327220688205,0.0018470068128814353
pres_2007,sido_48,A,B,0.03879995203525887,0.10359819627461865,0.07158932282145743,0.0027776622917092112
pres_2007,sido_50,A,B,0.03879995203525887,0.0,0.2636569673286442,0.01022987768611321
pres_2017,sido_11,A,B,0.10167156077441027,0.3005760812709782,0.015125498472892351,0.0015378330372299244
pres_2017,sido_26,A,B,0.10167156077441027,0.3542520453934769,0.02637886656688715,0.002681980535315326
pres_2017,sido_27,A,B,0.10167156077441027,0.46045801012155596,0.0238136095528218,0.002421166850907799
pres_2017,sido_28,A,B,0.10167156077441027,0.29487544833906,0.022973579432760904,0.0023357596775036922
pres_2017,sido_29,A,B,0.10167156077441027,0.03418060162298013,0.021458376922373346,0.0021817066733832843
pres_2017,sido_30,A,B,0.10167156077441027,0.24250575929562368,0.022660528998861285,0.002303931351288011
pres_2017,sido_31,A,B,0.10167156077441027,0.3565388725240564,0.023207275807614003,0.002359519952682328
pres_2017,sido_36,A,B,0.10167156077441027,0.17243319954853462,0.04225556069523964,0.004296188807282839
pres_2017,sido_41,A,B,0.10167156077441027,0.29256689156446186,0.023552454020479008,0.002394614760329635
pres_2017,sido_42,A,B,0.10167156077441027,0.33887657956962336,0.024567179254064264,0.002497783458585426
pres_2017,sido_43,A,B,0.10167156077441027,0.2931970633886198,0.02357902939018114,0.0023973167196454075
pres_2017,sido_44,A,B,0.10167156077441027,0.2582427461264072,0.02364369153694823,0.002403891021030242
pres_2017,sido_45,A,B,0.10167156077441027,0.06824834845461263,0.0281352887483778,0.0028605587198862747
pres_2017,sido_46,A,B,0.10167156077441027,0.043855392347036816,0.02149268091960186,0.0021851944143223083
pres_2017,sido_47,A,B,0.10167156077441027,0.48455175075968443,0.02366268500460572,0.002405822116531497
pres_2017,sido_48,A,B,0.10167156077441027,0.4182044880561177,0.03953839368549067,0.004019930196516924
pres_2017,sido_50,A,B,0.10167156077441027,0.24208451343454213,0.03368317944756549,0.0034246214262785217
