region_id,lineage_id,lineage_gap,lineage_reliability,effective_n,prior_events,source_party_names,weighted_gap,regional_distinctiveness,target_election_id
sido_11,chungcheong_regionalist,-0.07862943319428306,0.6901472840674875,4.447339245215949,6,자민련|자유민주연합,-0.0542658897668004,0.10313025309658398,pres_2002
sido_11,mainstream_conservative,0.01251762637716187,0.5119612363435075,5.565730139432596,9,국민의힘|민주자유당|신한국당|한나라당,0.0064085394761378926,0.10313025309658398,pres_2002
sido_11,mainstream_liberal,0.09281819485384837,0.6708215574848325,5.565730139432596,9,더불어민주당|민주당|새정치국민회의|새천년민주당|통합민주당,0.062264446034789235,0.10313025309658398,pres_2002
sido_11,mainstream_progressive,-0.004271899215653332,0.4699922280627456,1.900738219696003,2,민주노동당|민중당,-0.002007759430424405,0.10313025309658398,pres_2002
sido_11,party:21세기한독당,1.8793637313293334e-05,0.4,1.0,1,21세기한독당,7.517454925317334e-06,0.10313025309658398,pres_2002
sido_11,party:건설국민승리21,-0.002584501791689812,0.4,1.0,1,건설국민승리21,-0.0010338007166759249,0.10313025309658398,pres_2002
sido_11,party:공명민주당,-0.0010290181601384446,0.4,1.0,1,공명민주당,-0.00041160726405537786,0.10313025309658398,pres_2002
sido_11,party:공화당,-0.0004923965468684004,0.5620359888229424,1.9575060648951985,2,공화당,-0.0002767445801121837,0.10313025309658398,pres_2002
sido_11,party:노년권익보호당,-0.0002847825350806956,0.6505175385982872,2.857214116038608,3,노년권익보호당,-0.00018525603375647447,0.10313025309658398,pres_2002
sido_11,party:녹색평화당,0.0029212919952912807,0.6807508648227375,3.811014720882709,4,녹색평화당,0.0019886720521942796,0.10313025309658398,pres_2002
sido_11,party:대한민주당,-0.00012502203127225326,0.4,1.0,1,대한민주당,-5.0008812508901305e-05,0.10313025309658398,pres_2002
sido_11,party:대한정의당,-0.0011450881942502737,0.4,1.0,1,대한정의당,-0.0004580352777001095,0.10313025309658398,pres_2002
sido_11,party:무당파국민연합,-0.008352094568994549,0.4,1.0,1,무당파국민연합,-0.0033408378275978194,0.10313025309658398,pres_2002
