election_id,election_type,event_date,available_date,region_id,lineage_id,broad_bloc,source_party_names,regional_share,national_reference,lineage_gap,distinctiveness,quality,source_quality,ballot_channel,source_detail,lineage_resolution,lineage_resolution_confidence
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_11,mainstream_conservative,국민의힘,민주자유당,0.362852773010719,0.46992362579505154,-0.10707085278433254,0.10809987094447099,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_11,mainstream_liberal,더불어민주당,민주당,0.38845943295775154,0.3195209293390896,0.06893850361866194,0.10809987094447099,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_11,mainstream_progressive,진보정당계,민중당,0.018792088035365827,0.011871234652255504,0.006920853383110322,0.10809987094447099,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_11,party:공명민주당,공명민주당,공명민주당,6.243907781838278e-05,0.0010914572379568273,-0.0010290181601384446,0.10809987094447099,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_11,party:신정당,신정당,신정당,0.030531256981612003,0.016672282564041997,0.013858974417570006,0.10809987094447099,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_11,party:통일국민당,제3지대,통일국민당,0.19930200993673325,0.18092047041160453,0.01838153952512872,0.10809987094447099,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_41,mainstream_conservative,국민의힘,민주자유당,0.40261388449664937,0.46992362579505154,-0.06730974129840217,0.06730974129840218,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_41,mainstream_liberal,더불어민주당,민주당,0.34500112943302463,0.3195209293390896,0.025480200093935035,0.06730974129840218,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_41,mainstream_progressive,진보정당계,민중당,0.021269859197349597,0.011871234652255504,0.009398624545094093,0.06730974129840218,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_41,party:공명민주당,공명민주당,공명민주당,0.001543181989308034,0.0010914572379568273,0.00045172475135120665,0.06730974129840218,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_41,party:신정당,신정당,신정당,0.017449740230404336,0.016672282564041997,0.0007774576663623391,0.06730974129840218,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_41,party:통일국민당,제3지대,통일국민당,0.21212220465326406,0.18092047041160453,0.031201734241659534,0.06730974129840218,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_42,mainstream_conservative,국민의힘,민주자유당,0.45137771869576454,0.46992362579505154,-0.018545907099286996,0.20510497526552218,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_42,mainstream_liberal,더불어민주당,민주당,0.1361500683135778,0.3195209293390896,-0.1833708610255118,0.20510497526552218,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_42,mainstream_progressive,진보정당계,민중당,0.02707433255788191,0.011871234652255504,0.015203097905626406,0.20510497526552218,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_42,party:공명민주당,,,0.0,0.0010914572379568273,-0.0010914572379568273,0.20510497526552218,0.65,0.65,candidate_proxy,,,0.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_42,party:신정당,신정당,신정당,0.014575532661275432,0.016672282564041997,-0.002096749902766565,0.20510497526552218,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_42,party:통일국민당,제3지대,통일국민당,0.3708223477715003,0.18092047041160453,0.18990187735989578,0.20510497526552218,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_43,mainstream_conservative,국민의힘,민주자유당,0.47731104066022545,0.46992362579505154,0.0073874148651739135,0.06806477813348873,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_43,mainstream_liberal,더불어민주당,민주당,0.255186317431562,0.3195209293390896,-0.0643346119075276,0.06806477813348873,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_43,mainstream_progressive,진보정당계,민중당,0.009232525664251208,0.011871234652255504,-0.0026387089880042965,0.06806477813348873,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_43,party:공명민주당,,,0.0,0.0010914572379568273,-0.0010914572379568273,0.06806477813348873,0.65,0.65,candidate_proxy,,,0.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_43,party:신정당,신정당,신정당,0.02771015750805153,0.016672282564041997,0.011037874944009533,0.06806477813348873,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_43,party:통일국민당,제3지대,통일국민당,0.23055995873590981,0.18092047041160453,0.049639488324305286,0.06806477813348873,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_44,mainstream_conservative,국민의힘,민주자유당,0.5258956378600823,0.46992362579505154,0.055972012065030774,0.08864493810172994,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_44,mainstream_liberal,더불어민주당,민주당,0.243838683127572,0.3195209293390896,-0.07568224621151759,0.08864493810172994,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_44,mainstream_progressive,,,0.0,0.011871234652255504,-0.011871234652255504,0.08864493810172994,0.65,0.65,candidate_proxy,,,0.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_44,party:공명민주당,,,0.0,0.0010914572379568273,-0.0010914572379568273,0.08864493810172994,0.65,0.65,candidate_proxy,,,0.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_44,party:신정당,신정당,신정당,0.03597300411522634,0.016672282564041997,0.01930072155118434,0.08864493810172994,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_44,party:통일국민당,제3지대,통일국민당,0.19429267489711935,0.18092047041160453,0.013372204485514821,0.08864493810172994,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_45,mainstream_conservative,국민의힘,민주자유당,0.34197328150481426,0.46992362579505154,-0.12795034429023727,0.2726064973302579,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_45,mainstream_liberal,더불어민주당,민주당,0.5921274266693475,0.3195209293390896,0.2726064973302579,0.2726064973302579,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_45,mainstream_progressive,진보정당계,민중당,0.006941000379777942,0.011871234652255504,-0.004930234272477563,0.2726064973302579,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_45,party:공명민주당,공명민주당,공명민주당,0.0004311596631146259,0.0010914572379568273,-0.0006602975748422014,0.2726064973302579,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
assembly_1992_district,assembly_district,1992-03-24,1992-03-25,sido_45,party:신정당,신정당,신정당,0.006361280521859572,0.016672282564041997,-0.010311002042182426,0.2726064973302579,0.65,0.65,candidate_proxy,nec_exact_constituency_party,exact_party_alias,1.0
