variant,regional_equal_election_macro_mae_pp,national_equal_election_macro_mae_pp,winner_accuracy,rows
strict_base,5.475354551950725,4.412537678501086,0.2,199
structural,4.938391787910092,3.745737136478381,0.6,199
structural_mega,4.668680271640188,3.4397838492156625,0.8,199
structural_mega_shock,4.388799880306618,3.0895574352098065,0.8,199
structural_mega_shock_regime,3.4495940888234307,1.7257498640011062,0.8,199
