election_id,region_id,dominant_slot,runner_up_slot,rejection_rate,runner_core_floor,runner_flexible_mass,transfer
pres_2007,sido_11,A,B,0.03787193667386723,0.21813403718286137,0.09629678915350862,0.003646945900718423
pres_2007,sido_26,A,B,0.03787193667386723,0.1278634515442579,0.07793623402590491,0.002951596119628767
pres_2007,sido_27,A,B,0.03787193667386723,0.07182882636028154,0.056252249465865045,0.0021303816295338224
pres_2007,sido_28,A,B,0.03787193667386723,0.18829649635747572,0.12215998101454376,0.004626435065063624
pres_2007,sido_29,A,B,0.03787193667386723,0.48935597813177295,0.2506666025723651,0.009493229698874056
pres_2007,sido_30,A,B,0.03787193667386723,0.1749885957265136,0.1471680648647593,0.005573539632973749
pres_2007,sido_31,A,B,0.03787193667386723,0.09222167163681577,0.09978341398562346,0.0037789911355658092
pres_2007,sido_41,A,B,0.03787193667386723,0.19697816370481863,0.12040921361732626,0.004560130113065532
pres_2007,sido_42,A,B,0.03787193667386723,0.16209645385893912,0.10256169272362003,0.0038842099319935674
pres_2007,sido_43,A,B,0.03787193667386723,0.1871115693451475,0.12369680710051495,0.004684637645270272
pres_2007,sido_44,A,B,0.03787193667386723,0.13394141164498347,0.16766115213973337,0.006349652536503601
pres_2007,sido_45,A,B,0.03787193667386723,0.4905640077220065,0.2551491064864234,0.009662990803247633
pres_2007,sido_46,A,B,0.03787193667386723,0.49449629690945973,0.2468530677795897,0.009348803750698477
pres_2007,sido_47,A,B,0.03787193667386723,0.08400851401160532,0.05591715268178425,0.0021176908653474983
pres_2007,sido_48,A,B,0.03787193667386723,0.10359819627461865,0.07911814359486823,0.0029963573239787833
pres_2007,sido_50,A,B,0.03787193667386723,0.0,0.26359582205670573,0.009982884280427535
pres_2017,sido_11,A,B,0.10167156077441027,0.301008511479261,0.01515522240932271,0.0015408551162391583
pres_2017,sido_26,A,B,0.10167156077441027,0.3543389196831111,0.026360889847194202,0.00268015281416654
pres_2017,sido_27,A,B,0.10167156077441027,0.46008226492838405,0.023670895694241245,0.002406656910161775
pres_2017,sido_28,A,B,0.10167156077441027,0.29526107955486003,0.023005187185378084,0.002338973287044852
pres_2017,sido_29,A,B,0.10167156077441027,0.03418060162298013,0.02195655702849117,0.0022323574223190447
pres_2017,sido_30,A,B,0.10167156077441027,0.24302985307860214,0.02273116121981611,0.002311112639433451
pres_2017,sido_31,A,B,0.10167156077441027,0.3566701636687568,0.023201897828729168,0.002358973165175295
pres_2017,sido_36,A,B,0.10167156077441027,0.17243319954853462,0.0424739081276618,0.004318388531528285
pres_2017,sido_41,A,B,0.10167156077441027,0.2929610598161668,0.023587480432075036,0.00239817595026493
pres_2017,sido_42,A,B,0.10167156077441027,0.3390610654624061,0.024563052362046256,0.0024973638710328074
pres_2017,sido_43,A,B,0.10167156077441027,0.2935740183134102,0.0236125067161011,0.0024007204116222435
pres_2017,sido_44,A,B,0.10167156077441027,0.258712287374873,0.023710528891416394,0.002410686479177052
pres_2017,sido_45,A,B,0.10167156077441027,0.06824834845461263,0.02855781103853383,0.002903517220588417
pres_2017,sido_46,A,B,0.10167156077441027,0.043855392347036816,0.021980656800163804,0.0022348076837193087
pres_2017,sido_47,A,B,0.10167156077441027,0.48406713998910517,0.023477715673450972,0.002387015995937595
pres_2017,sido_48,A,B,0.10167156077441027,0.41821673359754863,0.03941875612560708,0.004007766459076317
pres_2017,sido_50,A,B,0.10167156077441027,0.24247120379278841,0.033735508701040084,0.003429941823153443
