election_id,region_id,dominant_slot,runner_up_slot,rejection_rate,runner_core_floor,runner_flexible_mass,transfer
pres_2007,sido_11,A,B,0.0357869744749592,0.22472742260445905,0.10555126138449661,0.0037773602969667273
pres_2007,sido_26,A,B,0.0357869744749592,0.12262723111249667,0.07115110987578051,0.002546282952989575
pres_2007,sido_27,A,B,0.0357869744749592,0.05267097306867194,0.03795182769014757,0.001358181088825361
pres_2007,sido_28,A,B,0.0357869744749592,0.18829649635747572,0.13355625015121278,0.004779574115132718
pres_2007,sido_29,A,B,0.0357869744749592,0.5062633125035538,0.26487756419919806,0.009479166628986069
pres_2007,sido_30,A,B,0.0357869744749592,0.1749885957265136,0.17034529488846833,0.006096142720103015
pres_2007,sido_31,A,B,0.0357869744749592,0.09222167163681577,0.08090715333864468,0.0028954222313716874
pres_2007,sido_41,A,B,0.0357869744749592,0.19697816370481863,0.13309118050959917,0.004762930679739213
pres_2007,sido_42,A,B,0.0357869744749592,0.16209645385893912,0.09876011262567519,0.003534325629679134
pres_2007,sido_43,A,B,0.0357869744749592,0.1871115693451475,0.13695136659824803,0.004901075060762283
pres_2007,sido_44,A,B,0.0357869744749592,0.13394141164498347,0.19682669175288864,0.007043831793751289
pres_2007,sido_45,A,B,0.0357869744749592,0.5050615589935803,0.2719952302518609,0.009733886362333997
pres_2007,sido_46,A,B,0.0357869744749592,0.5113584401382479,0.26074727472251846,0.009331356064909943
pres_2007,sido_47,A,B,0.0357869744749592,0.06825019857397903,0.038496150989617076,0.0013776607728496018
pres_2007,sido_48,A,B,0.0357869744749592,0.09902713684464634,0.0676080455174344,0.002419487399234305
pres_2007,sido_50,A,B,0.0357869744749592,0.0,0.28518977220041347,0.010206079098255627
pres_2017,sido_11,A,B,0.10167156077441027,0.2949081278890789,0.01492665572032742,0.0015176163842279679
pres_2017,sido_26,A,B,0.10167156077441027,0.3502460223475259,0.02641548534940119,0.002685703624087187
pres_2017,sido_27,A,B,0.10167156077441027,0.45842031496370556,0.024677538027611357,0.0025090038073371083
pres_2017,sido_28,A,B,0.10167156077441027,0.28956342376126154,0.022660983053160666,0.0023039775156973056
pres_2017,sido_29,A,B,0.10167156077441027,0.03418060162298013,0.018160989025732814,0.0018464560994531918
pres_2017,sido_30,A,B,0.10167156077441027,0.237098748600481,0.022127348469302616,0.002249722054673255
pres_2017,sido_31,A,B,0.10167156077441027,0.35201958644223136,0.023237455775253768,0.0023625883970963845
pres_2017,sido_36,A,B,0.10167156077441027,0.17243319954853462,0.040112292384894666,0.004078279373011732
pres_2017,sido_41,A,B,0.10167156077441027,0.2872485013786314,0.02322606408209721,0.0023614301858732936
pres_2017,sido_42,A,B,0.10167156077441027,0.3343972043956962,0.02449675493123399,0.0024906233077667908
pres_2017,sido_43,A,B,0.10167156077441027,0.28798814407396006,0.02327265230356701,0.0023661668830638324
pres_2017,sido_44,A,B,0.10167156077441027,0.2530098681455589,0.02311525219080468,0.002350163767933218
pres_2017,sido_45,A,B,0.10167156077441027,0.06824834845461263,0.02524258573017435,0.0025664530891686826
pres_2017,sido_46,A,B,0.10167156077441027,0.043855392347036816,0.018224498413108373,0.0018529131979914913
pres_2017,sido_47,A,B,0.10167156077441027,0.482804365179678,0.02475160604354093,0.0025165344181201322
pres_2017,sido_48,A,B,0.10167156077441027,0.4142297435249934,0.04032574816699669,0.004099981755534368
pres_2017,sido_50,A,B,0.10167156077441027,0.2371589143860602,0.03320203946511355,0.00337570317331166
