election_id,region_id,donor_slot,recipient_slots,candidate_ballot_recent_base,floor_mode,recipient_weight_mode,declared_origin_lane,resolved_origin_lane,protected_floor,before,reservoir,gain,transfer,after
pres_2002,sido_11,C,A|B,0.0172553182802303,theoretical,prediction_tilted,liberal,liberal,0.01,0.06062585210786211,0.05062585210786211,0.5,0.025312926053931054,0.035312926053931055
pres_2002,sido_26,C,A|B,0.039818482004606,theoretical,prediction_tilted,liberal,liberal,0.01,0.10665153878882412,0.09665153878882413,0.5,0.04832576939441206,0.05832576939441206
pres_2002,sido_27,C,A|B,0.0058164519761945,theoretical,prediction_tilted,liberal,liberal,0.01,0.0517226551782035,0.0417226551782035,0.5,0.02086132758910175,0.03086132758910175
pres_2002,sido_28,C,A|B,0.0255062904560678,theoretical,prediction_tilted,liberal,liberal,0.01,0.0628007914541385,0.0528007914541385,0.5,0.02640039572706925,0.036400395727069254
pres_2002,sido_29,C,A|B,0.0779749988731636,theoretical,prediction_tilted,liberal,liberal,0.01,0.13395163442129404,0.12395163442129405,0.5,0.06197581721064702,0.07197581721064703
pres_2002,sido_30,C,A|B,0.0189676131685742,theoretical,prediction_tilted,liberal,liberal,0.01,0.07541672695525072,0.06541672695525072,0.5,0.03270836347762536,0.042708363477625355
pres_2002,sido_31,C,A|B,0.3115852121639049,theoretical,prediction_tilted,liberal,liberal,0.01,0.2557616830233022,0.2457616830233022,0.5,0.1228808415116511,0.1328808415116511
pres_2002,sido_41,C,A|B,0.0208780312728109,theoretical,prediction_tilted,liberal,liberal,0.01,0.058220429227290704,0.0482204292272907,0.5,0.02411021461364535,0.03411021461364536
pres_2002,sido_42,C,A|B,0.0200289187580357,theoretical,prediction_tilted,liberal,liberal,0.01,0.08644776691940981,0.07644776691940981,0.5,0.038223883459704906,0.0482238834597049
pres_2002,sido_43,C,A|B,0.0118716878700329,theoretical,prediction_tilted,liberal,liberal,0.01,0.0733073690080161,0.0633073690080161,0.5,0.03165368450400805,0.04165368450400805
pres_2002,sido_44,C,A|B,0.0095463081839152,theoretical,prediction_tilted,liberal,liberal,0.01,0.04540430564277321,0.03540430564277321,0.5,0.017702152821386603,0.027702152821386605
pres_2002,sido_45,C,A|B,0.0228231814936564,theoretical,prediction_tilted,liberal,liberal,0.01,0.12765526252633264,0.11765526252633264,0.5,0.05882763126316632,0.06882763126316632
pres_2002,sido_46,C,A|B,0.0132624825931937,theoretical,prediction_tilted,liberal,liberal,0.01,0.1348359455036211,0.1248359455036211,0.5,0.06241797275181055,0.07241797275181056
pres_2002,sido_47,C,A|B,0.0296959172831779,theoretical,prediction_tilted,liberal,liberal,0.01,0.04496114370304,0.03496114370304,0.5,0.01748057185152,0.027480571851520003
pres_2002,sido_48,C,A|B,0.0344685791555901,theoretical,prediction_tilted,liberal,liberal,0.01,0.0895669194284756,0.0795669194284756,0.5,0.0397834597142378,0.049783459714237796
pres_2002,sido_50,C,A|B,0.0,theoretical,prediction_tilted,liberal,liberal,0.01,0.1471342941237135,0.1371342941237135,0.5,0.06856714706185675,0.07856714706185676
pres_2022,sido_11,C,A|B,0.029384832583875,theoretical,prediction_tilted,liberal,liberal,0.01,0.050284441960502,0.040284441960501995,0.5,0.020142220980250997,0.030142220980251
pres_2022,sido_26,C,A|B,0.0399820977460082,theoretical,prediction_tilted,liberal,liberal,0.01,0.0473783921439894,0.0373783921439894,0.5,0.0186891960719947,0.028689196071994702
