variant,election_id,regional_weighted_mae_pp,rows,national_candidate_mae_pp
strict_base,pres_2002,9.06242191212828,48,9.032597403960288
strict_base,pres_2007,10.005842761612875,48,8.416408319290834
strict_base,pres_2012,2.269434592482876,34,1.7147709804479383
strict_base,pres_2017,8.053956903267599,51,7.436607757943908
strict_base,pres_2022,1.532069534304332,51,0.8799267033583226
structural,pres_2002,6.996084901988726,48,6.858356579856405
structural,pres_2007,7.697739032772206,48,6.575217466861235
structural,pres_2012,2.4543562034227024,34,0.2151440033518942
structural,pres_2017,8.620243722957941,51,8.16988558986269
structural,pres_2022,2.22851084040284,51,1.8562593286197733
structural_mega,pres_2002,6.996084901988725,48,6.858356579856405
structural_mega,pres_2007,7.697739032772206,48,6.575217466861236
structural_mega,pres_2012,2.4543562034227024,34,0.2151440033518942
structural_mega,pres_2017,7.3458479006633475,51,6.654764632376256
structural_mega,pres_2022,2.2285108404028406,51,1.8562593286197733
structural_mega_shock,pres_2002,6.996084901988726,48,6.858356579856405
structural_mega_shock,pres_2007,7.504578207876366,48,6.330392540066598
structural_mega_shock,pres_2012,2.4543562034227024,34,0.2151440033518942
structural_mega_shock,pres_2017,6.172564569150575,51,5.170989234854098
structural_mega_shock,pres_2022,2.22851084040284,51,1.8562593286197733
structural_mega_shock_regime,pres_2002,6.996084901988726,48,6.858356579856405
structural_mega_shock_regime,pres_2007,4.513405440113512,48,2.0421770739451497
structural_mega_shock_regime,pres_2012,2.61101168070825,34,0.681512395060338
structural_mega_shock_regime,pres_2017,3.997113214968533,51,2.330427140235547
structural_mega_shock_regime,pres_2022,2.22851084040284,51,1.8562593286197733
v25_corrected_v23_lineage_v24_structural,pres_2002,2.794613421186259,48,2.3847689992445242
v25_corrected_v23_lineage_v24_structural,pres_2007,4.267281357705368,48,1.1767917371690826
v25_corrected_v23_lineage_v24_structural,pres_2012,2.6110116807082515,34,0.681512395060338
v25_corrected_v23_lineage_v24_structural,pres_2017,3.0326334159726493,51,0.09503310583937237
v25_corrected_v23_lineage_v24_structural,pres_2022,1.278875275085657,51,0.48277469137618007
