slot,candidate_name,predicted_share,actual_contest_share,actual_raw_share,error_pp,absolute_error_pp,ex_post_actual_volume_reaggregated_prediction
A,이재명,0.5581446736807537,0.49962935694173594,0.4942026464027963,5.8515316739017775,5.8515316739017775,0.5587359147239329
B,김문수,0.3552403496937361,0.4160508140375874,0.41153188954705655,-6.081046434385135,6.081046434385135,0.35452712629822447
C,이준석,0.0866149766255101,0.08431982902067663,0.08340399151347135,0.22951476048334724,0.22951476048334724,0.08673695897784253
