source_id,source_name,source_domain,base_url,archive_url_template,parser_type,start_date,end_date,enabled,notes
yonhap,연합뉴스,yna.co.kr,https://www.yna.co.kr,,yonhap_archive,2001-01-01,2026-12-31,true,첫 파일럿 대상. archive_url_template은 실제 구조 확인 후 입력
chosun,조선일보,chosun.com,https://www.chosun.com,,unknown,1920-01-01,2026-12-31,false,URL 구조 확인 필요
donga,동아일보,donga.com,https://www.donga.com,,unknown,1920-01-01,2026-12-31,false,URL 구조 확인 필요
hani,한겨레,hani.co.kr,https://www.hani.co.kr,,unknown,1988-01-01,2026-12-31,false,URL 구조 확인 필요
kyunghyang,경향신문,khan.co.kr,https://www.khan.co.kr,,unknown,1946-01-01,2026-12-31,false,URL 구조 확인 필요
