election_id,region_id,slot,candidate_name,issue_advantage,rif,partisan_prior,landscape_bloc_alignment,landscape_centrist,landscape_inferred_prior,candidate_weight,assigned_slot,preliminary_mean_share,pre_withdrawal_mean_share,post_withdrawal_mean_share,withdrawal_event_applied
pres_2025,sido_11,A,이재명,0.010068282961444523,0.0015102424442166784,-0.008214340922439714,-0.01332712342050827,-0.001498887363794517,-0.0008273691432185988,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_26,A,이재명,0.010068282961444523,0.0015102424442166784,-0.09648147911637038,-0.01332712342050827,-0.001498887363794517,-0.015155550191116432,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_27,A,이재명,0.010068282961444523,0.0015102424442166784,-0.29149564763515295,-0.01332712342050827,-0.001498887363794517,-0.03294041819763712,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_28,A,이재명,0.010068282961444523,0.0015102424442166784,-0.0014868451919854556,-0.01332712342050827,-0.001498887363794517,-0.0021955162087425027,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_29,A,이재명,0.010068282961444523,0.0015102424442166784,0.3803414063803171,-0.01332712342050827,-0.001498887363794517,0.048354001454847924,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_30,A,이재명,0.010068282961444523,0.0015102424442166784,-0.010503179851893836,-0.01332712342050827,-0.001498887363794517,0.0058733890592137395,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_31,A,이재명,0.010068282961444523,0.0015102424442166784,-0.11023247548648317,-0.01332712342050827,-0.001498887363794517,-0.011697569141032947,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_36,A,이재명,0.010068282961444523,0.0015102424442166784,0.031576674330564804,-0.01332712342050827,-0.001498887363794517,0.012257082674122902,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_41,A,이재명,0.010068282961444523,0.0015102424442166784,0.006478355092655075,-0.01332712342050827,-0.001498887363794517,-0.0009262162457629572,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_42,A,이재명,0.010068282961444523,0.0015102424442166784,-0.06816295302893166,-0.01332712342050827,-0.001498887363794517,-0.012498825911564253,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_43,A,이재명,0.010068282961444523,0.0015102424442166784,-0.027431422640840877,-0.01332712342050827,-0.001498887363794517,-0.005941401801798874,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_44,A,이재명,0.010068282961444523,0.0015102424442166784,-0.04171173843563602,-0.01332712342050827,-0.001498887363794517,-0.0012707171828226426,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_45,A,이재명,0.010068282961444523,0.0015102424442166784,0.36592302181646685,-0.01332712342050827,-0.001498887363794517,0.03670619695763504,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_46,A,이재명,0.010068282961444523,0.0015102424442166784,0.38444804690840184,-0.01332712342050827,-0.001498887363794517,0.04367254540869035,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_47,A,이재명,0.010068282961444523,0.0015102424442166784,-0.30270828667823624,-0.01332712342050827,-0.001498887363794517,-0.039482422634375736,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_48,A,이재명,0.010068282961444523,0.0015102424442166784,-0.12957625801567604,-0.01332712342050827,-0.001498887363794517,-0.019889487246724895,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_50,A,이재명,0.010068282961444523,0.0015102424442166784,0.02968830712778809,-0.01332712342050827,-0.001498887363794517,-0.00025871269553914486,0.4549571856407072,B,0.3238876491427711,0.3238876491427711,0.3238876491427711,False
pres_2025,sido_11,B,김문수,0.008671075673514656,0.0013006613510271982,0.011644404732710667,-0.024749387630695854,-0.002055746113258464,-0.0007732319374813642,0.4822149473074399,A,0.43828578791062567,0.43828578791062567,0.43828578791062567,False
