election_id,region_id,regional_distinctiveness,maximum_absolute_lineage_gap,lineages_with_prior_evidence,maximum_candidate_base_affinity,maximum_inherited_affinity,maximum_genealogy_affinity,maximum_genealogy_score,maximum_absolute_transfer,direct_lineage_score_enabled,direct_lineage_scope,target_outcome_used
pres_2012,sido_42,0.18651223591689936,0.08427753400490295,68,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2012,sido_43,0.08956980218880853,0.046547761010331964,68,0.0,0.0,1.0,0.010868489267797229,0.0013584246951621748,True,non_major,False
pres_2012,sido_44,0.2997975481476889,0.23807786170301892,68,0.0,0.0,1.0,0.23807786170301892,0.029749901485173258,True,non_major,False
pres_2012,sido_45,0.4313009176794646,0.3063078528713185,68,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2012,sido_46,0.4619749513498387,0.3169144198680652,68,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2012,sido_47,0.34096018862155625,0.26284951915711935,68,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2012,sido_48,0.24408993931370912,0.1529593268036385,68,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2012,sido_50,0.10837436253878603,0.07236818816464181,60,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2017,sido_11,0.10444346475996587,0.04003738991477746,86,0.021174407734273586,0.0,0.0,0.0,0.0006177243523927123,True,non_major,False
pres_2017,sido_26,0.1887433611500538,0.12275389094571651,84,0.014101100941651873,0.0,0.0,0.0,0.00029144975441713905,True,non_major,False
pres_2017,sido_27,0.34449172242102444,0.23396421853999508,84,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2017,sido_28,0.08555866931535648,0.03797363390584328,84,0.016352558833895352,0.0,0.0,0.0,0.000665643724292786,True,non_major,False
pres_2017,sido_29,0.4965710166420303,0.33466567556243676,84,0.17039600778361444,0.0,0.0,0.0,0.02449329790868021,True,non_major,False
pres_2017,sido_30,0.17859011405267752,0.1571227990284866,84,0.008923612668137017,0.6423846144867621,0.0,0.0,0.0107403283182399,True,non_major,False
pres_2017,sido_31,0.32889089889745204,0.17040284610408107,78,0.0,0.0,0.0,0.0,0.0,True,non_major,False
