election_id,slot,candidate_name,nominal_level,point_share,lower_share,upper_share,width_pp,official_actual_share,covered,training_elections,forecast_region_weight_source,target_outcome_used_to_construct_bounds
pres_2007,A,이명박,0.5,0.5322165587610255,0.49621308610587045,0.5541312874023991,5.791820129652869,0.541403354410904,True,pres_2002,latest_prior_presidential_contest_votes,False
pres_2007,A,이명박,0.8,0.5322165587610255,0.4698864207038258,0.578398656851999,10.851223614817318,0.541403354410904,True,pres_2002,latest_prior_presidential_contest_votes,False
pres_2007,A,이명박,0.9,0.5322165587610255,0.45443182976658786,0.5921750747862642,13.774324501967634,0.541403354410904,True,pres_2002,latest_prior_presidential_contest_votes,False
pres_2007,A,이명박,0.95,0.5322165587610255,0.4406847395650487,0.603844947673939,16.316020810889032,0.541403354410904,True,pres_2002,latest_prior_presidential_contest_votes,False
pres_2007,B,정동영,0.5,0.3043455158764393,0.2814471464705015,0.3299960464318713,4.854889996136979,0.2908875893868086,True,pres_2002,latest_prior_presidential_contest_votes,False
pres_2007,B,정동영,0.8,0.3043455158764393,0.2617857925808683,0.35362796764979465,9.184217506892633,0.2908875893868086,True,pres_2002,latest_prior_presidential_contest_votes,False
pres_2007,B,정동영,0.9,0.3043455158764393,0.2508267270355932,0.3676515286210336,11.68248015854404,0.2908875893868086,True,pres_2002,latest_prior_presidential_contest_votes,False
pres_2007,B,정동영,0.95,0.3043455158764393,0.24147837455174676,0.37982566920886457,13.834729465711781,0.2908875893868086,True,pres_2002,latest_prior_presidential_contest_votes,False
pres_2007,C,이회창,0.5,0.1634379253625352,0.1507271837858483,0.18511310402789816,3.4385920242049868,0.16770905620228738,True,pres_2002,latest_prior_presidential_contest_votes,False
pres_2007,C,이회창,0.8,0.1634379253625352,0.13734815752927512,0.20211383795064028,6.476568042136516,0.16770905620228738,True,pres_2002,latest_prior_presidential_contest_votes,False
pres_2007,C,이회창,0.9,0.1634379253625352,0.13005283990158423,0.21244657180061904,8.239373189903482,0.16770905620228738,True,pres_2002,latest_prior_presidential_contest_votes,False
pres_2007,C,이회창,0.95,0.1634379253625352,0.12441365446389385,0.221622739010233,9.720908454633914,0.16770905620228738,True,pres_2002,latest_prior_presidential_contest_votes,False
pres_2012,A,박근혜,0.5,0.5148574418019551,0.4861459890255537,0.5408382081799223,5.4692219154368615,0.5177328232773333,True,pres_2002|pres_2007,latest_prior_presidential_contest_votes,False
pres_2012,A,박근혜,0.8,0.5148574418019551,0.4614513198153673,0.5654409352055695,10.398961539020219,0.5177328232773333,True,pres_2002|pres_2007,latest_prior_presidential_contest_votes,False
pres_2012,A,박근혜,0.9,0.5148574418019551,0.44685133181134457,0.5797703325373761,13.291900072603152,0.5177328232773333,True,pres_2002|pres_2007,latest_prior_presidential_contest_votes,False
pres_2012,A,박근혜,0.95,0.5148574418019551,0.4339788465402435,0.5925765775970323,15.859773105678881,0.5177328232773333,True,pres_2002|pres_2007,latest_prior_presidential_contest_votes,False
pres_2012,B,문재인,0.5,0.48514255819804486,0.4591617918200776,0.5138540109744462,5.469221915436856,0.4822671767226667,True,pres_2002|pres_2007,latest_prior_presidential_contest_votes,False
pres_2012,B,문재인,0.8,0.48514255819804486,0.43455906479443035,0.5385486801846328,10.39896153902024,0.4822671767226667,True,pres_2002|pres_2007,latest_prior_presidential_contest_votes,False
pres_2012,B,문재인,0.9,0.48514255819804486,0.4202296674626238,0.5531486681886554,13.291900072603157,0.4822671767226667,True,pres_2002|pres_2007,latest_prior_presidential_contest_votes,False
pres_2012,B,문재인,0.95,0.48514255819804486,0.40742342240296764,0.5660211534597567,15.859773105678904,0.4822671767226667,True,pres_2002|pres_2007,latest_prior_presidential_contest_votes,False
pres_2017,A,문재인,0.5,0.47290935437227344,0.44632554120583423,0.4930590249243024,4.673348371846819,0.47475871042772055,True,pres_2002|pres_2007|pres_2012,latest_prior_presidential_contest_votes,False
pres_2017,A,문재인,0.8,0.47290935437227344,0.4239435180188371,0.5136348449260489,8.969132690721182,0.47475871042772055,True,pres_2002|pres_2007|pres_2012,latest_prior_presidential_contest_votes,False
pres_2017,A,문재인,0.9,0.47290935437227344,0.41009289041873515,0.5259899510137757,11.589706059504051,0.47475871042772055,True,pres_2002|pres_2007|pres_2012,latest_prior_presidential_contest_votes,False
pres_2017,A,문재인,0.95,0.47290935437227344,0.397406430925198,0.5365592371929783,13.915280626778026,0.47475871042772055,True,pres_2002|pres_2007|pres_2012,latest_prior_presidential_contest_votes,False
pres_2017,B,홍준표,0.5,0.28179641614065587,0.2635646526270257,0.30121864343445925,3.7653990807433537,0.27773130397522994,True,pres_2002|pres_2007|pres_2012,latest_prior_presidential_contest_votes,False
pres_2017,B,홍준표,0.8,0.28179641614065587,0.24712814466635177,0.3193094851492697,7.218134048291794,0.27773130397522994,True,pres_2002|pres_2007|pres_2012,latest_prior_presidential_contest_votes,False
pres_2017,B,홍준표,0.9,0.28179641614065587,0.2371805650720416,0.33047430947779455,9.329374440575295,0.27773130397522994,True,pres_2002|pres_2007|pres_2012,latest_prior_presidential_contest_votes,False
