election_id,predicted_third_share,gain,expansion_factor,reconciliation_rounds,max_candidate_level_shift_pp,min_expanded_share,outcome_fields_used
pres_2002,0.044751754810871416,1.0,1.0447517548108713,17,1.9984014443252818e-13,0.026874684919045856,none
pres_2007,0.16343792536253535,1.0,1.1634379253625353,16,1.9984014443252818e-13,0.05943316480191314,none
pres_2012,0.0,1.0,1.0,1,1.1102230246251565e-14,0.06725630229056671,none
pres_2017,0.24529422948707086,1.0,1.2452942294870708,12,1.3322676295501878e-13,0.019687596392449845,none
pres_2022,0.02834801381772164,1.0,1.0283480138177217,12,2.275957200481571e-13,0.02038692379200544,none
