viewer_title,speaker_blocks,source_blocks,text_source_mode,issue_rows,pdf_creation_datetime,available_date,availability_basis,model_eligible_at_cutoff,minutes_id,meeting_date,class_id,class_name,committee_code,committee_name,session,title,viewer_url,pdf_url,viewer_sha256,pdf_sha256,part_sha256,semantic_fingerprint
제22대국회 제420회 (임시회) 제3차 농림축산식품해양수산위원회 (2025.01.09.),790,790,official_xml_attributed_speech,134,2025-05-14T20:29:04,2025-05-15,official_pdf_creation_plus_safety_lag,True,52659,2025-01-09,2,standing_committee,AK,농림축산식품해양수산위원회,420,농림축산식품해양수산위원회 제3차 (2025. 01. 09.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52659&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52659,89d07be4d5ca7a6689568ee66fe2d66ef45c40355bb7997cce6b25cb2ef743f7,f50f199a9c227148d9349234f88a9e213209621bd8ce29c8f67532c18f77f3d5,b93fd709d2d4346fc16a4f73a038531f451c8aea7b3bad68a7f95ba92c7597ec,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제2차 환경노동위원회 (2025.01.09.),125,125,official_xml_attributed_speech,92,2025-05-14T20:48:33,2025-05-15,official_pdf_creation_plus_safety_lag,True,52666,2025-01-09,2,standing_committee,AN,환경노동위원회,420,환경노동위원회 제2차 (2025. 01. 09.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52666&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52666,1de98ae99f07378870a489400452e2b96ec9e1964568e26b7cbed7834ee98428,eb09ff944ce7aa796bb9ee9f1a027713bee6cb1fc276f3e41dcdde306f54bb5b,c54b33ed83c264597c40d591fd97b3708a951de76d67b3cae088b3ec090b5689,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제5차 국회본회의 (2025.01.09.),982,982,official_xml_attributed_speech,248,2025-04-23T15:06:31,2025-04-24,official_pdf_creation_plus_safety_lag,True,52681,2025-01-09,1,plenary,,plenary,420,제5차 (2025. 01. 09.) (보존부록),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52681&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52681,07eef8ef95fb0c5544758daa61251f754613187b6782632e7f9489289c0697b8,f8be815fd910d5a1ff4d6bde09aa40d600583a1a11e033f1afa7b0c55a1b619f,56340f4fc843f48e944bc734d9f0d9fcdb04c198b07197f5260317cb77cf3fc0,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제3차 법제사법위원회 (2025.01.10.),634,634,official_xml_attributed_speech,156,2025-03-19T09:31:47,2025-03-20,official_pdf_creation_plus_safety_lag,True,52630,2025-01-10,2,standing_committee,AB,법제사법위원회,420,법제사법위원회 제3차 (2025. 01. 10.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52630&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52630,734f89c0f97f20ba1dfe0c9560f221b1c918be3fe7041df8c9f10b880cc5311c,300fd2ba8cf9fc5c0dae6c9c6c06bc04b133efe002e72a6a78fa4eb9e24b83ee,03d8763c2b99437fca4dba2048e43daef2ab620f144f21aaeed8eedcf4965729,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제3차 법제사법위원회(법안심사제1소위원회) (2025.01.10.),444,444,official_xml_attributed_speech,274,2025-05-20T10:45:22,2025-05-21,official_pdf_creation_plus_safety_lag,True,52634,2025-01-10,2,standing_committee,AB,법제사법위원회,420,법안심사제1소위원회 제3차 (2025. 01. 10.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52634&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52634,86980ba943457902f8e33fc17c85831e40d46b53eb2a0c037062ba8a2104e052,6c4f9bcf516c705689f83da298228679317c48e3ef3126bccb8960f6e68e7380,e1769e9794ab0a7dc34fe2e16bdbe1c9b6ff9d487ac9d583d598e2773e23e6fd,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제2차 문화체육관광위원회 (2025.01.10.),906,906,official_xml_attributed_speech,93,2025-05-14T20:37:10,2025-05-15,official_pdf_creation_plus_safety_lag,True,52654,2025-01-10,2,standing_committee,AJ,문화체육관광위원회,420,문화체육관광위원회 제2차 (2025. 01. 10.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52654&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52654,4559c9712f078161f871412d94fc5bec6602b5351f6025856bfc3d7b6e587f61,1d24ecaf540a1b7c85fb631dfeb690dac2bf638c0c087dfd2057eae89cc3a757,c4b15ad08c32a9150724dd8729058780e77e956cfb985e3d7e2b3f9fd3b329f1,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제4차 법제사법위원회 (2025.01.13.),633,633,official_xml_attributed_speech,207,2025-03-19T09:32:41,2025-03-20,official_pdf_creation_plus_safety_lag,True,52631,2025-01-13,2,standing_committee,AB,법제사법위원회,420,법제사법위원회 제4차 (2025. 01. 13.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52631&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52631,fd06cb6ec462a4b20cc7c7d71334c91b6addbbbe5f6d9cd4b3689b6fe852eeb0,617aa5ed0a74da391fec3294bcf7191d05a50ace05f8eda0f0471579b2240909,dc018c7040b7d10161e4b20bfa37c6f5668fa82a5405e3e2a294697708db525a,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제2차 행정안전위원회 (2025.01.13.),1591,1591,official_xml_attributed_speech,398,2025-04-08T13:54:54,2025-04-09,official_pdf_creation_plus_safety_lag,True,52650,2025-01-13,2,standing_committee,AI,행정안전위원회,420,행정안전위원회 제2차 (2025. 01. 13.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52650&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52650,91bdd52a2e2cccd8aaa37398e4b67d15fbdc90bacdd9f5a6eaf1c217efeca928,163aab16b131eabf118f97e7175b877ca4a53e4b0de18a1b22563d4f1072e9ed,28fe66ccf7bbb13376d7189d6654e2d9e7c3eda70d49421aa3047c3c9bd84af7,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제1차 정보위원회 (2025.01.13.),49,49,official_xml_attributed_speech,20,2025-05-14T20:41:09,2025-05-15,official_pdf_creation_plus_safety_lag,True,52670,2025-01-13,2,standing_committee,AP,정보위원회,420,정보위원회 제1차 (2025. 01. 13.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52670&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52670,a53b9195a51cc4be5be80191713c514cca455982cbcf24f4622123d4c1aef755,f3974c957b74566a4cbeac7c3530812c93c23a3735469b1cd524937bcb5bcd65,3ec2499118be18731a9b4eab77435140dab2d6183f93803b1a24b5b314fbe2e8,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제3차 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회 (2025.01.14.),2998,2998,official_xml_attributed_speech,561,2025-05-14T20:40:41,2025-05-15,official_pdf_creation_plus_safety_lag,True,52050,2025-01-14,6,investigation,AA,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회,420,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회 제3차 (2025. 01. 14.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52050&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52050,8838b7b9216cce83efd6c55774011659971d0516966dd8527c8b767d7cd0d597,09676c1c2ce2d5304dc0c95ba92641670ed3fdf59997309fb592edbabf512ecb,55788148dc07b4f4651f95defebbd78419cc6895282f7a6b9c645d13de5beb82,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
