minutes_id,class_id,class_name,committee_code,committee_name,session,meeting_date,title,viewer_url,pdf_url
52051,6,investigation,AA,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회,420,2025-01-15,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회 제4차 (2025. 01. 15.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52051&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52051
52635,2,standing_committee,AB,법제사법위원회,420,2025-01-15,법안심사제1소위원회 제4차 (2025. 01. 15.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52635&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52635
52656,2,standing_committee,AJ,문화체육관광위원회,420,2025-01-15,체육관광법안심사소위원회 제1차 (2025. 01. 15.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52656&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52656
52655,2,standing_committee,AJ,문화체육관광위원회,420,2025-01-16,문화예술법안심사소위원회 제1차 (2025. 01. 16.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52655&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52655
52669,2,standing_committee,AO,국토교통위원회,420,2025-01-16,국토교통위원회 제3차 (2025. 01. 16.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52669&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52669
52676,3,special_committee,AD,12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회,420,2025-01-16,12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회 제1차 (2025. 01. 16.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52676&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52676
52682,2,standing_committee,AA,국회운영위원회,421,2025-01-17,국회운영위원회 제1차 (2025. 01. 17.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52682&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52682
52683,2,standing_committee,AB,법제사법위원회,421,2025-01-17,법제사법위원회 제1차 (2025. 01. 17.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52683&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52683
52686,2,standing_committee,AE,교육위원회,421,2025-01-17,교육위원회 제1차 (2025. 01. 17.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52686&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52686
52694,1,plenary,,plenary,421,2025-01-17,제1차 (2025. 01. 17.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52694&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52694
52684,2,standing_committee,AB,법제사법위원회,421,2025-01-20,법제사법위원회 제2차 (2025. 01. 20.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52684&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52684
52687,2,standing_committee,AI,행정안전위원회,421,2025-01-20,행정안전위원회 제1차 (2025. 01. 20.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52687&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52687
52688,2,standing_committee,AJ,문화체육관광위원회,421,2025-01-21,문화체육관광위원회 제1차 (2025. 01. 21.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52688&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52688
52691,2,standing_committee,AM,보건복지위원회,421,2025-01-21,법안심사제1소위원회 제1차 (2025. 01. 21.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52691&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52691
52693,2,standing_committee,AN,환경노동위원회,421,2025-01-21,환경노동위원회 제1차 (2025. 01. 21.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52693&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52693
52052,6,investigation,AA,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회,421,2025-01-22,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회 제5차 (2025. 01. 22.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52052&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52052
52685,2,standing_committee,AB,법제사법위원회,421,2025-01-22,법안심사제1소위원회 제1차 (2025. 01. 22.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52685&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52685
52692,2,standing_committee,AM,보건복지위원회,421,2025-01-22,법안심사제2소위원회 제1차 (2025. 01. 22.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52692&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52692
52690,2,standing_committee,AM,보건복지위원회,421,2025-01-23,보건복지위원회 제1차 (2025. 01. 23.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52690&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52690
52695,1,plenary,,plenary,421,2025-01-23,제2차 (2025. 01. 23.) (보존부록),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52695&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52695
54338,2,standing_committee,AK,농림축산식품해양수산위원회,421,2025-01-23,농림축산식품법안심사소위원회 제1차 (2025. 01. 23.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=54338&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=54338
52743,2,standing_committee,AM,보건복지위원회,422,2025-02-03,법안심사제1소위원회 제1차 (2025. 02. 03.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52743&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52743
52755,1,plenary,,plenary,422,2025-02-03,개회식 (2025. 02. 03.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52755&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52755
52756,1,plenary,,plenary,422,2025-02-03,제1차 (2025. 02. 03.) (보존부록),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52756&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52756
52053,6,investigation,AA,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회,422,2025-02-04,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회 제6차 (2025. 02. 04.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52053&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52053
52054,6,investigation,AA,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회,422,2025-02-05,국정조사록-서울동부구치소 (2025. 02. 05.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52054&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52054
52055,6,investigation,AA,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회,422,2025-02-05,국정조사록-서울구치소 (2025. 02. 05.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52055&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52055
52056,6,investigation,AA,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회,422,2025-02-05,국정조사록-육군수도방위사령부 (2025. 02. 05.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52056&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52056
52057,6,investigation,AA,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회,422,2025-02-06,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회 제7차 (2025. 02. 06.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52057&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52057
