region_id,region_name,province
sido_11,서울특별시,서울특별시
sido_26,부산광역시,부산광역시
sido_27,대구광역시,대구광역시
sido_28,인천광역시,인천광역시
sido_29,광주광역시,광주광역시
sido_30,대전광역시,대전광역시
sido_31,울산광역시,울산광역시
sido_36,세종특별자치시,세종특별자치시
sido_41,경기도,경기도
sido_42,강원특별자치도,강원특별자치도
sido_43,충청북도,충청북도
sido_44,충청남도,충청남도
sido_45,전북특별자치도,전북특별자치도
sido_46,전라남도,전라남도
sido_47,경상북도,경상북도
sido_48,경상남도,경상남도
sido_50,제주특별자치도,제주특별자치도
