event_id,election_id,event_date,available_date,event_type,source_slot,target_slot,transfer_rate,voter_compliance,source_viability_after_event,exclude_source_from_evaluation,notes
pres_2012_c_to_b_unification,pres_2012,2012-11-23,2012-11-23,coalition_withdrawal,C,B,0.85,0.85,0.01,true,2012 C-side viable opposition candidacy unified/withdrew toward B before election
pres_2022_c_to_a_unification,pres_2022,2022-03-03,2022-03-03,coalition_withdrawal,C,A,0.55,0.70,0.00,true,2022 Ahn Cheol-soo formally unified with Yoon Suk-yeol; latent C slot removed from final evaluation and voter transfer is partial
