election_id,election_type,region_id,bloc,vote_share,data_quality_weight
assembly_1996_district,assembly_district,sido_29,무당파국민연합,0.0015065058951495164,0.65
assembly_1996_district,assembly_district,sido_29,제3지대,0.008463189488195159,0.65
assembly_1996_district,assembly_district,sido_30,21세기한독당,0.0019931674300785627,0.65
assembly_1996_district,assembly_district,sido_30,국민의힘,0.2236683112472451,0.65
assembly_1996_district,assembly_district,sido_30,대한민주당,0.0013869876074363411,0.65
assembly_1996_district,assembly_district,sido_30,더불어민주당,0.25110698070260656,0.65
assembly_1996_district,assembly_district,sido_30,무당파국민연합,0.0026936864966419245,0.65
assembly_1996_district,assembly_district,sido_30,제3지대,0.5191508665159915,0.65
assembly_1996_district,assembly_district,sido_41,국민의힘,0.3553555210190929,0.65
assembly_1996_district,assembly_district,sido_41,더불어민주당,0.4426929417751645,0.65
assembly_1996_district,assembly_district,sido_41,무당파국민연합,0.0024271934106305376,0.65
assembly_1996_district,assembly_district,sido_41,제3지대,0.19952434379511205,0.65
assembly_1996_district,assembly_district,sido_42,국민의힘,0.4525323970853301,0.65
assembly_1996_district,assembly_district,sido_42,대한민주당,0.0005569650530056465,0.65
assembly_1996_district,assembly_district,sido_42,더불어민주당,0.2573195629703664,0.65
assembly_1996_district,assembly_district,sido_42,무당파국민연합,0.002685733323082443,0.65
assembly_1996_district,assembly_district,sido_42,제3지대,0.2869053415682154,0.65
assembly_1996_district,assembly_district,sido_43,국민의힘,0.35397404766427265,0.65
assembly_1996_district,assembly_district,sido_43,더불어민주당,0.19963585275993834,0.65
assembly_1996_district,assembly_district,sido_43,무당파국민연합,0.004558685373704394,0.65
assembly_1996_district,assembly_district,sido_43,제3지대,0.4418314142020846,0.65
assembly_1996_district,assembly_district,sido_44,국민의힘,0.3058638067575284,0.65
assembly_1996_district,assembly_district,sido_44,더불어민주당,0.1489436707132395,0.65
assembly_1996_district,assembly_district,sido_44,무당파국민연합,0.0024465628956580024,0.65
assembly_1996_district,assembly_district,sido_44,제3지대,0.5420371887490381,0.65
assembly_1996_district,assembly_district,sido_44,친민당,0.0007087708845361336,0.65
assembly_1996_district,assembly_district,sido_45,국민의힘,0.24860276314578897,0.65
assembly_1996_district,assembly_district,sido_45,더불어민주당,0.7373194714083239,0.65
assembly_1996_district,assembly_district,sido_45,무당파국민연합,0.008759006776846223,0.65
assembly_1996_district,assembly_district,sido_45,제3지대,0.005318758669040912,0.65
assembly_1996_district,assembly_district,sido_46,국민의힘,0.19496262674679335,0.65
assembly_1996_district,assembly_district,sido_46,더불어민주당,0.7964975550055813,0.65
assembly_1996_district,assembly_district,sido_46,제3지대,0.008539818247625383,0.65
assembly_1996_district,assembly_district,sido_47,국민의힘,0.5237944281999499,0.65
assembly_1996_district,assembly_district,sido_47,더불어민주당,0.12738171507870882,0.65
assembly_1996_district,assembly_district,sido_47,무당파국민연합,0.040778730771703395,0.65
assembly_1996_district,assembly_district,sido_47,제3지대,0.3080451259496379,0.65
assembly_1996_district,assembly_district,sido_48,국민의힘,0.6531130321866204,0.65
assembly_1996_district,assembly_district,sido_48,더불어민주당,0.2654712311069218,0.65
assembly_1996_district,assembly_district,sido_48,무당파국민연합,0.016038105847378862,0.65
assembly_1996_district,assembly_district,sido_48,제3지대,0.0653776308590789,0.65
assembly_1996_district,assembly_district,sido_50,국민의힘,0.5324205510644899,0.65
assembly_1996_district,assembly_district,sido_50,더불어민주당,0.4510311239631687,0.65
assembly_1996_district,assembly_district,sido_50,제3지대,0.01654832497234141,0.65
assembly_2000_district,assembly_district,sido_11,공화당,4.4291315051925276e-05,0.65
assembly_2000_district,assembly_district,sido_11,국민의힘,0.43976293073618455,0.65
assembly_2000_district,assembly_district,sido_11,더불어민주당,0.45794577384099566,0.65
assembly_2000_district,assembly_district,sido_11,민주국민당,0.013152758984027697,0.65
assembly_2000_district,assembly_district,sido_11,제3지대,0.04760938885283229,0.65
assembly_2000_district,assembly_district,sido_11,진보정당계,0.00995749292031011,0.65
assembly_2000_district,assembly_district,sido_11,청년진보당,0.03055547097144695,0.65
assembly_2000_district,assembly_district,sido_11,희망의한국신당,0.0009718923791507694,0.65
assembly_2000_district,assembly_district,sido_26,국민의힘,0.6520994292218504,0.65
assembly_2000_district,assembly_district,sido_26,더불어민주당,0.16241173784743135,0.65
assembly_2000_district,assembly_district,sido_26,민주국민당,0.16109028508612164,0.65
assembly_2000_district,assembly_district,sido_26,제3지대,0.017568397082128432,0.65
assembly_2000_district,assembly_district,sido_26,진보정당계,0.005784962415777223,0.65
assembly_2000_district,assembly_district,sido_26,희망의한국신당,0.0010451883466909221,0.65
assembly_2000_district,assembly_district,sido_27,공화당,0.0006168484715274798,0.65
assembly_2000_district,assembly_district,sido_27,국민의힘,0.6924466786491255,0.65
assembly_2000_district,assembly_district,sido_27,더불어민주당,0.1203610808792336,0.65
assembly_2000_district,assembly_district,sido_27,민주국민당,0.06873133649320462,0.65
assembly_2000_district,assembly_district,sido_27,제3지대,0.11262211413587446,0.65
assembly_2000_district,assembly_district,sido_27,진보정당계,0.005065956700073384,0.65
assembly_2000_district,assembly_district,sido_27,희망의한국신당,0.00015598467096097194,0.65
assembly_2000_district,assembly_district,sido_28,국민의힘,0.4307389917445189,0.65
assembly_2000_district,assembly_district,sido_28,더불어민주당,0.41939481025580394,0.65
assembly_2000_district,assembly_district,sido_28,민주국민당,0.012665149410339019,0.65
assembly_2000_district,assembly_district,sido_28,제3지대,0.1251850150854082,0.65
assembly_2000_district,assembly_district,sido_28,진보정당계,0.007850778370684972,0.65
assembly_2000_district,assembly_district,sido_28,청년진보당,0.004165255133244966,0.65
assembly_2000_district,assembly_district,sido_29,국민의힘,0.04452903047855468,0.65
assembly_2000_district,assembly_district,sido_29,더불어민주당,0.9457674803475383,0.65
assembly_2000_district,assembly_district,sido_29,민주국민당,0.00555785408909116,0.65
assembly_2000_district,assembly_district,sido_29,제3지대,0.004145635084815888,0.65
assembly_2000_district,assembly_district,sido_30,국민의힘,0.2584424704897766,0.65
assembly_2000_district,assembly_district,sido_30,더불어민주당,0.3157891194162798,0.65
assembly_2000_district,assembly_district,sido_30,민주국민당,0.010336711592957484,0.65
assembly_2000_district,assembly_district,sido_30,제3지대,0.3807172201492956,0.65
assembly_2000_district,assembly_district,sido_30,진보정당계,0.02434859869910454,0.65
assembly_2000_district,assembly_district,sido_30,희망의한국신당,0.010365879652585973,0.65
assembly_2000_district,assembly_district,sido_31,국민의힘,0.5518636097975665,0.65
assembly_2000_district,assembly_district,sido_31,더불어민주당,0.1268164550236438,0.65
assembly_2000_district,assembly_district,sido_31,민주국민당,0.05225213856862016,0.65
assembly_2000_district,assembly_district,sido_31,제3지대,0.040768954890813454,0.65
assembly_2000_district,assembly_district,sido_31,진보정당계,0.22829884171935605,0.65
assembly_2000_district,assembly_district,sido_41,공화당,0.0010221458651182352,0.65
assembly_2000_district,assembly_district,sido_41,국민의힘,0.41007662322232424,0.65
assembly_2000_district,assembly_district,sido_41,더불어민주당,0.4291327915834523,0.65
assembly_2000_district,assembly_district,sido_41,민주국민당,0.01647817316257337,0.65
assembly_2000_district,assembly_district,sido_41,제3지대,0.12992504892281792,0.65
assembly_2000_district,assembly_district,sido_41,진보정당계,0.01285823038011128,0.65
assembly_2000_district,assembly_district,sido_41,희망의한국신당,0.0005069868636026179,0.65
assembly_2000_district,assembly_district,sido_42,국민의힘,0.41970667087210217,0.65
assembly_2000_district,assembly_district,sido_42,더불어민주당,0.3967371077117174,0.65
assembly_2000_district,assembly_district,sido_42,민주국민당,0.07108657940387951,0.65
assembly_2000_district,assembly_district,sido_42,제3지대,0.11083425327235452,0.65
assembly_2000_district,assembly_district,sido_42,희망의한국신당,0.0016353887399463806,0.65
assembly_2000_district,assembly_district,sido_43,국민의힘,0.3295945295457106,0.65
assembly_2000_district,assembly_district,sido_43,더불어민주당,0.3370539295846292,0.65
assembly_2000_district,assembly_district,sido_43,민주국민당,0.007071920906462196,0.65
assembly_2000_district,assembly_district,sido_43,제3지대,0.31735735817751665,0.65
assembly_2000_district,assembly_district,sido_43,희망의한국신당,0.008922261785681366,0.65
assembly_2000_district,assembly_district,sido_44,국민의힘,0.18300082921524205,0.65
assembly_2000_district,assembly_district,sido_44,더불어민주당,0.31531878288768395,0.65
assembly_2000_district,assembly_district,sido_44,민주국민당,0.011984872634088754,0.65
assembly_2000_district,assembly_district,sido_44,제3지대,0.4121096424041559,0.65
assembly_2000_district,assembly_district,sido_44,진보정당계,0.00954630818391529,0.65
assembly_2000_district,assembly_district,sido_44,희망의한국신당,0.06803956467491404,0.65
assembly_2000_district,assembly_district,sido_45,국민의힘,0.049387563068836286,0.65
assembly_2000_district,assembly_district,sido_45,더불어민주당,0.9011534904849202,0.65
assembly_2000_district,assembly_district,sido_45,민주국민당,0.0029380749200992877,0.65
assembly_2000_district,assembly_district,sido_45,제3지대,0.04652087152614416,0.65
assembly_2000_district,assembly_district,sido_46,국민의힘,0.0566459981860767,0.65
assembly_2000_district,assembly_district,sido_46,더불어민주당,0.9147785353323994,0.65
assembly_2000_district,assembly_district,sido_46,민주국민당,0.006581989470463374,0.65
assembly_2000_district,assembly_district,sido_46,제3지대,0.021993477011060542,0.65
assembly_2000_district,assembly_district,sido_47,국민의힘,0.5731532247564765,0.65
assembly_2000_district,assembly_district,sido_47,더불어민주당,0.16003414052587642,0.65
assembly_2000_district,assembly_district,sido_47,민주국민당,0.10993896062011177,0.65
assembly_2000_district,assembly_district,sido_47,제3지대,0.15319922766846247,0.65
assembly_2000_district,assembly_district,sido_47,희망의한국신당,0.0036744464290728875,0.65
assembly_2000_district,assembly_district,sido_48,국민의힘,0.6879453525036315,0.65
assembly_2000_district,assembly_district,sido_48,더불어민주당,0.15131506241033213,0.65
assembly_2000_district,assembly_district,sido_48,민주국민당,0.08000589406024088,0.65
assembly_2000_district,assembly_district,sido_48,제3지대,0.04176419577439688,0.65
assembly_2000_district,assembly_district,sido_48,진보정당계,0.03641872120796375,0.65
assembly_2000_district,assembly_district,sido_48,희망의한국신당,0.0025507740434348434,0.65
assembly_2000_district,assembly_district,sido_50,국민의힘,0.4669497878720758,0.65
assembly_2000_district,assembly_district,sido_50,더불어민주당,0.5216515308991158,0.65
assembly_2000_district,assembly_district,sido_50,민주국민당,0.004621662605850983,0.65
assembly_2000_district,assembly_district,sido_50,제3지대,0.006777018622957523,0.65
assembly_2004_district,assembly_district,sido_11,공화당,0.0001794831056482,0.65
assembly_2004_district,assembly_district,sido_11,국민의힘,0.4191436043266261,0.65
assembly_2004_district,assembly_district,sido_11,국민통합21,0.0005159342764728,0.65
assembly_2004_district,assembly_district,sido_11,기독당,0.0007629625035365,0.65
assembly_2004_district,assembly_district,sido_11,노년권익보호당,0.0005484324009274,0.65
assembly_2004_district,assembly_district,sido_11,녹색사민당,0.0011323366109001,0.65
assembly_2004_district,assembly_district,sido_11,더불어민주당,0.5344220983847795,0.65
assembly_2004_district,assembly_district,sido_11,민주국민당,5.586278909524372e-05,0.65
assembly_2004_district,assembly_district,sido_11,사회당,0.0001074774573467,0.65
assembly_2004_district,assembly_district,sido_11,자민련,0.0080074953844167,0.65
