election_id,slot,kospi_context_effect,kospi_market_stress_index,kospi_close,kospi_return_3m,kospi_return_12m,kospi_drawdown_12m,kospi_volatility_3m,kospi_latest_date,available_date
pres_2002,A,-0.11180457144760192,0.11180457144760192,709.22,0.007243083565301456,0.10168385733813845,-0.24358741907616166,0.316839784530014,2002-12-18,2002-12-18
pres_2002,B,0.11180457144760192,0.11180457144760192,709.22,0.007243083565301456,0.10168385733813845,-0.24358741907616166,0.316839784530014,2002-12-18,2002-12-18
pres_2002,C,0.022360914289520386,0.11180457144760192,709.22,0.007243083565301456,0.10168385733813845,-0.24358741907616166,0.316839784530014,2002-12-18,2002-12-18
pres_2007,A,-0.23549174434300457,-0.23549174434300457,1861.47,-0.0216434972275511,0.2987936339596575,-0.09849625880814583,0.2654383509016714,2007-12-18,2007-12-18
pres_2007,B,0.23549174434300457,-0.23549174434300457,1861.47,-0.0216434972275511,0.2987936339596575,-0.09849625880814583,0.2654383509016714,2007-12-18,2007-12-18
pres_2007,C,-0.07064752330290137,-0.23549174434300457,1861.47,-0.0216434972275511,0.2987936339596575,-0.09849625880814583,0.2654383509016714,2007-12-18,2007-12-18
pres_2012,A,0.23698799324967307,-0.23698799324967307,1993.09,-0.007365978046496857,0.12164801089519561,-0.027419386321049455,0.10709631351912184,2012-12-18,2012-12-18
pres_2012,B,-0.23698799324967307,-0.23698799324967307,1993.09,-0.007365978046496857,0.12164801089519561,-0.027419386321049455,0.10709631351912184,2012-12-18,2012-12-18
pres_2012,C,0.0,-0.23698799324967307,1993.09,-0.007365978046496857,0.12164801089519561,-0.027419386321049455,0.10709631351912184,2012-12-18,2012-12-18
pres_2017,A,-0.4462945337251415,-0.4462945337251415,2292.76,0.10483276391304974,0.15988688274961937,0.0,0.08785789527808734,2017-05-08,2017-05-08
pres_2017,B,0.4462945337251415,-0.4462945337251415,2292.76,0.10483276391304974,0.15988688274961937,0.0,0.08785789527808734,2017-05-08,2017-05-08
pres_2017,C,-0.1785178134900566,-0.4462945337251415,2292.76,0.10483276391304974,0.15988688274961937,0.0,0.08785789527808734,2017-05-08,2017-05-08
pres_2022,A,0.4495911918713075,0.4495911918713075,2622.4,-0.12639083216736624,-0.12473173548367722,-0.20658596579339894,0.18053212225266727,2022-03-08,2022-03-08
pres_2022,B,-0.4495911918713075,0.4495911918713075,2622.4,-0.12639083216736624,-0.12473173548367722,-0.20658596579339894,0.18053212225266727,2022-03-08,2022-03-08
pres_2022,C,-0.0,0.4495911918713075,2622.4,-0.12639083216736624,-0.12473173548367722,-0.20658596579339894,0.18053212225266727,2022-03-08,2022-03-08
